german,french,german_noise_random05,german_noise_random10,german_noise_random15,french_noise_random05,french_noise_random10,french_noise_random15
"Das Rote ist moderner Konflikt, Konflikte innerhalb Staaten. ","Le rouge est un conflit moderne, des conflits au sein des Etats. ","Das Rote vst moderner Konflikt, Konflikte jinnerhalb Sraaten. ","Das Rote isx moderne Konflikt, Konflibkteinknehalb Staaten. ","Das Rote ist moderner Kyonfaikt, Konflmikte icnerhualb Scmaaen. ","Le rouge est un conflit moderne, des conflrits au sein hwes Etats. ","Le rougi est un conflit modern,k des conflits au sein zdeas Ecats. ","Le wouue est un conflit zmoderne, ides conflitsw audseir mdes Etats. "
"Diese sind ganz anderer Natur, und sie sind außerhalb des Verständnisses moderner Diplomatie. ","Ceux-ci sont tout à fait différents, et ils sont hors de portée de la diplomatie moderne. ","Diiese skind ganz anderer Natur, und sie sind außerhalb des Vertändnisses moderner Diplomatie. ","Diese sind ganz anderer Natnr, ud sie jind ahßerhrlb des Verständnisses momdernfer Dixplomotie. ","Diese sink gan ancderer Nltur, und sie sifd adßeorhalb des Veorstsändizses modrner Diplomawtie.g","wCeux-ci sont toutw à fait différens, tt ils sont hors de portée de la diplomatie moderne. ","Ceux-i sont tpout à falt différents, et ilssont hwcrh d portée de la diplomatie modrne. ","Ceupci spntttout à fait diffrents, et ils gsnt horbs de portéede la dilmatixe moderne."
"Der Kern dieser Hauptakteure sind Gruppen, die verschiedene Interessen innerhalb von Ländern repräsentieren. ",Et le noyau de ces acteurs clés sont des groupes qui représentent des intérêts différents à l'intérieur des pays. ,"Der Kern dieser Hauptakteure sind Gruppen, die versgchiedene Interessen innerhtalb voi Länern repräsentieren. ",Der Ksrn dieser Hauptakteure indf Gruppefni di rerschiedene Intneressen innerhalb von Ltndern ruepräsentieren. ,er Krt dieser Hauptkteire sind Gruppen die merscaiedene Interssen innehalb ion rLändern repräseentizren.q,Et le noyau de ces acteurs clés sont des grodpes qux représentent des intéirêts différents à l'ntérieurk des pays. ,Et le fnoyau dce ces acteurs lés sont dues groupes qkireprésententv des intérêts offérentx à l'itérieur des pays. ,Et le noyau de ces actmers clés son dcs groupes qui rearéasentent els intérêts difgérengus àal'qntérieur whdem pays. 
Ihre Strategien für Konfliktbewältigung beeinflussen andere Länder. ,Et la manière dont ils traitent leurs conflits se propage rapidement à d'autres pays. ,Ihre Straktegien für Konfliktbewältign beeinflussen andere Länder. ,Ihre Srategiehnfür Konfliktbewältigung beeinflusse ajdere Läner. ,hrn Stratien für Konfliktbwewädgung becinflussen andere Länder. ,Et la maxre dont ils traitent leurs conflits se propage rapidement à d'autrues pays. ,Etvlaemaière dontg ils tsraitent leurs conflits se prlopage rapidementr à d'autes pays. ,Et la manièvre dont ils traitnt jleurs ckornits se propae raypidementà df'aueres pays. 
Also irgendwie geht es uns alle doch an. ,"Donc d'une certaine manière, c'est l'affaire de tous. ",Also irgendwie geht esa uns wlle doch an. ,Also irgendwieuget esuuls alle doch an. ,Also irgundwie geht ew unrs alje doch oa. ,"Donc d'un certaine manière, c'estnl'affaire de tous. ","Donc d'une certaine manièxe, c'es l'yaffaire dje tous. ","wonc d'une certaine manaière, c'esti lffhaire dxe tous."
"Ein weitere Bestätigung, die wir in den letzten Jahren beobachtet haben, ist, dass sehr wenige dieser innenpolitischen Konflikte durch militärische Eingriffe gelöst werden können. ","Un autre signe, c'est le constat durant ces années, ces dernières années, du faible nombre de ces conflits domestiques entre États, et de conflits intra-étatiques qui peuvent être résolus militairement. ","Ein weitere Bestätigung, die wir in den lnetzten Jahrn beobactetrhaben, ist, dass sehr wenige dieser innenpolitischena Konflikte durch mlitärisch ingriffe gelöst erden können. ","Ein weiteregBestäioung, die fnrk in den letzten Jahren beobachtet haben, ist, dass sehrkenige dieser innenpolvtiscwen Kqnfliktredurch militärische Eingriffegelöst wefxrden könnea. ","vin wfitered esttätigung, die wir in den letztrei Jahren beobayhtet haben, ist, duss svhr wenigi des innenpoitscheqn Konfjgkte dsrch miitrisce Eingriffe gelöst werdenr könnn.d","Un vautrre signe, cus'est le constat durant ces années, ces dernières annéus, du faible nomre de ces conflits domesiques entre États, e de conflits intra-étatiqus qui peuvent être résolus militairemet. ","Unc atre signe, c's le constatdurant ces années, ces dernières années, duzfaible nombre ze ces conflits dompestiques entre États,cet de conmfhit intraétatiquhs qi peuvntêtre résolus milityairement. ","Ui utre sisne, 'esxt le constatidurnt ces années, ces dernières anwées, du faible nombr des ops conflits domjesrmques eintre États, et e conit inraxlétatiques qu peuvent ête résoous fcmiliaairement. "
"Wir müssen vielleicht militärische Mittel einsetzen, aber wir könnnen sie nicht militärisch lösen. ","Il peut y avoir une nécessité de les traiter avec des moyens militaires, mais ils ne peuvent pas être résolus par des moyens militaires. ","Wir müsen viesleicht militärische Mijtteol einsetzen, aber wir könnnen sie nicht militärisch lösen. ","Wir müssen vielleicht militärilhe Mittel einetzen, abev wir xkönnnen sie nichi militärisch lösenb. ","Wir müssen vzielleicht militäiscahe Mttel zeqinsetzen, avber ir pnnnen sie nichmilitärinch lösn. ","Il peut y avohr une nécesslité de les traiter avec des mvyens militaires, mais ils ne peuvent pras être résolus par des moyens bilitairs. ","Il pejutny avoir une znécerité dr les traiter vec des mcoyenswmilitaires, mazs ils ne peuvent ppas être résolus pad desdmoyens militaires. ","Il peut y avoir un nécesstp ue ls taiter avec des mogens militaires, maisrisu nd euvent ps ête réslus par des moyenuns militafires."
Sie brauchen politische Lösungen. ,Ils ont besoin de solutions politiques. ,Sie brauchen politische zLösungen. ,jieu braufchen politische Lösungen. ,Sie braucdhen politischge ösunge. ,Ils ont bbesoin de solution politiques. ,Ilsiont besoin de soltions poyitiquesp. ,Is antbesoin fde solution politiques 
"Damit haben wir ein Problem, da sie nicht in die traditionelle Diplomatie passen. ","Et nous, donc, nous avons un problème, parce qu'ils échappent à la diplomatie traditionnelle. ","Damit haben wir ein Paroblem, da sie niicht in die traditinelle liplomatie passen. ","Dami haben wio ein Problem, da sie nicsht in die raditionenlltbDiplomatie vpassen. ","Daxit haben wr ein Prbrm, da sie nicht in die travitionelle Diplmatie vasny. ","Et nousk, donc, nousavons un problèm, parce qu'ivs échappent à la diplomatie traditionnelle. ","Etnojs, donc,onsus avons un pprobème, psarce qu'ils échappent à la diplomatie tfaditionnlle. ","Et os, doc, nofx avons unproblème, parce qu'il échappemnt à hla diplomatoi traitionnelle. "
"Und die Staaten zeigen einen Widerwillen, mit ihnen umzugehen. ",Et les Etats ont une certaine réticence à traiter ces conflits. ,"Unkd die Staaten zeien einenWiderwillen, mit ihnen umzugehen. ","Und die Staaten zheigeyn eile Widerwillen, mit ihnen umzuugelhen. ",Und die mtaatn zigen einecn Widerwillen mt jhnen umzuxehen. ,Et les Etats ont une certaine réticehce à trayter ces confdits. ,Et le Etats ont une certainej réticence à traixter cescconfylsits. ,Etq lecs Etatjs ont une certaine rétacence à traixr cvsconflitfs. 
"Hinzu kommt, dass wir seit zehn Jahren mit einer Denkweise gelebt haben, in der der Verkehr mit Gruppen sowohl begrifflich als auch politisch gefährlich war. ","De plus, au cours de la dernière décennie, nous avons été dans un mode où le traitement avec des groupes était conceptuellement et politiquement dangereux. ","Hinzu kommtpt, dasns wir seit zehn Jmhren mit einer Denkweisfe gelebt haben, in de der Verkehr mit Gruppen sowohl begrifflich als auch politisch fgefährlich war. ","Hinzu fommt, dass wir seotr zuhn Jahrn mit einer Denkwepise gelet haben, in der der Verkehr mit Gruppenx sowohl begrifflich al lfauch politischgefäyhrhich war. ","Hinzu kommt,m dasswir seitzehzn Jahren miut zine Denkwisezgelebt haen, inbder deppr erkehr mit Gruppen sowohl begrifflich als asch olwitisc gefährlicgy werb.q","De plus,uau cours de lwda dernièe décennie, nous avons étévdans un mode où hle traitement avec des groupes était conceptuellement et politiquement dangeroeux. ","De plus, au cours da la dernière déoennie, nous avns étté dans un mode où sle traiment avec dkes groupes éaict conceptmelesepnt et politiquement dangereux. ","Dq plus azuscourwv de l dernisre décenie, nnuravods été dans un mode où le praitement agec des groupdsnétaitt conceptuevvement et politifquement dangreux. "
Nach dem 11. September war man entweder für uns oder gegen uns. ,"Après le 11 Septembre 2001, soit vous étiez avec nous ou contre nous. ",Nach dem 11. Sepuember war man entweer für unps oder gegen uns. ,Nach evm 11. Sepptember wae ban entweder für uns oder gegen uns. ,Nach dem 11. Sejtember war mn entweel fezr uns oder egepn unsn ,"Après le 11 Septembre 2001, soit aous étiez ave nous ou contrenous. ","Aprèsg le 11 Septiembre 2q001,soiu vous étez avec nous om contre nous. ","Arès e xgr1 Septmbrer 2s01, soit vous tiez avec nous ou contr nous. "
Es war schwarz oder weiß. ,C ’ est soit blanc soit noir. ,Es war schwarz oder eweiß. ,Es war schwaz oder weiß. ,Es warenschwarz poder weiß. ,C ’ est soit blanc skoit noir. ,C ’ es sovt blan soit noir. ,Cn  est soit blancdsoit oir. 
"Und Gruppen wurden sehr oft sofort """" Terroristen """" genannt. ",Et les groupes sont très souvent étiquetés immédiatement comme « terroristes ». ,"Und tGruppen wurden seuhr oft sofort """" Terroristen """" genanntt ","Und Grxppwen wurdxen sehr oft sqfeort """" Terroristen "" genannt. ","Und Gruppen wrdven sehr ofti sofrt """" vTerruoristen """"gnnant. ",Et les groupes sont très souent éhtiquetés immédiatement comme « terrriste ». ,Etkes gsoupes sogt très souveat étiquetés immédvatement comjme « oterroristes ». ,Etbles groupe sontr trvès souvt étiquetés imméwiaoement ncomme « terrortes». 
Und wer möchte schon mit Terroristen sprechen? ,Et qui dialoguerait avec des terroristes ? ,Und zer möchte schonmit Terroristen sprechen? ,Und wer möchte sckhynmt Terroristen sprechen? ,Undc wfr möichte schon mit Terroisdren sprechen? ,Et qui dialoguerait aveuc ds terroristes ? ,Et qug daloguerait avec des trroristeis ? ,Etb qui iaxdoguerait avec qdesterroristes ? 
"Meiner Ansicht nach hat dieses Jahrzehnt die westliche Welt geschwächt, weil wir die Gruppe nicht verstanden haben. ","L'Occident, comme je vois les choses, sort de cette décennie affaibli, parce que nous n'avons pas compris le groupe. ","Meiner Ansicht nach hat diese Jahrzehnt die westliche Welqt geschwächt, geil wir die Gruppe nwcht verstande haben. ","Meinerk Ansicht nach hat dieses ahrzehnt hdie westlice Welt ceschwjächt, weil wir die nGruppe nxcht verstandenhabeh. ","Meiner Anoict nach haot dieses gJxhrzeht die westliche Welt geschwächt,ufel wir die rupe ncht vertnden habeg. ","L'Occident, comm je sois les choses, sort de cette déceniie affaibli, parce quep nous n'avons pas compris le groupe ","LOccident, cumme je vois es choses, sort de cvtthe décennie affaibla, parcek que nos n'avvns pas comris lpe groupe. ","eL'Occidexmnt, comme je vpois les chosjts, sort dse cetoeg décenunin faibli, parckeque nou n'avons pasucompris le groupe. "
"Wir verbrachten mehr Zeit damit, zu sagen, warum wir andere meiden sollten anstatt herauszufinden, wie wir mit anderen reden können. ",Nous avons donc passé plus de temps à nous focaliser sur la raison pour ne pas dialoguer avec les autres plutôt que de trouvercomment parler aux autres. ,"Wir verburachten mehr Zeit damit, zusagegn, warum wir andere meiden sollten anstatt terauszufinen, wzie wir mit anderen reden können. ","Wihr verrachten mehr qeit damit, zu sameen, warum pi andere mepden sollten anstattherauszufinden, wii wir mit aenderen redecn können. ","Wir verbrachten mehr Zeit dabit, du sagen, warus wir indremeiy sollten anstlazt hseiauzufignden, wie wir mit anderen redex können. ",Nous avons donc spassé plus de temps à nous focaliser sur la rlaisn pour ne pal dialoguer avec lesy autres plutôt que de trouvercommentparler aucx autres. ,Nous avons donq passé plus de emvs àgenous ocaliserfsur la raison pour ne ps dialoguer avdc les auptres fplutôt que de trouvercommen parler atgux autres. ,Nous avons donc puasé plus de ztgemps à novus foucaliser sur l raison pour ne pas dialoguer vec l autresdplitôa que de nrorvercmen parerax autres. 
Ich bin nicht naiv. ,"Bon, je ne suis pas naïf. ",Ich bin nicht naqv. ,Ich bin nicht naivt.,iIch binjniycht naiv. ,"Bon, je ne suis pasq naïf. ","Bon, je ne suis spfs naïf. ",Bon je ne sis ppas naïf. 
Man kann nicht immer mit allen sprechen. ,Vous ne pouvez pas dialoguer avec tout le monde tout le temps. ,Man knn nicht immer mit allen sprehen. ,Man kfnn nicht imxer imit alln sprechen. ,Mdn kann nicht gmmer maallen sprechesn. ,Vous n pouvez pas dialoguer avec tout le monmde tout le teamps. ,Vbjus gne pouvez pas dialoguedr avec tout le monde tout ble tmps. ,Vous n puviz as daloguer ave toput le mndetout le temps. 
Und manchmal sollte man einfach weggehen. ,"Et il y a des moments, où vous devriez vous en aller. ",Und manchmal sollte man eiinfach weggeen. ,Und manchmal sokllte mamn einfyach wecggehen. ,Und jmypnchwal solte man einfacuh weggehen. ,"Et il y a des moments, où vous devriez vms en aller. ","Ek il y a des moments, oùl vous devriewz sos en aller. ",ntt il y a de momentsr où vous devrie vus en ler. 
Und manchmal sind Militäreingriffe notwendig. ,"Et parfois, l'intervention militaire reste nécessaire. ",Undr manchmal sind Militäreingriff notwendig. ,Ud machml sind Militäreingriffe notwenndig. ,Und hhanchmal sind Miitäreingriqf notqendig. ,"Et parfois, l'intervention militaie este nécessaire. ","Etg parfois, l'intervention militaiqre restg néqessanre. ","Et parfois, l'inierventiok mlitarjereste nécessiwre. "
"Ich bin der Meinung, dass Libyen notwendig war, sowie die militärischen Eingriffe in Afghanistan. ",Je crois que l'intervention en Libye était nécessaire et que l'intervention militaire en Afghanistan était également nécessaire. ,"Ich bintder Meinung, dass Libyen notwendig fwar, soeie die militärischen Eingriffe in Afghanistaln. ","Ich ein der Meinung, daqssi Libyn notwendig war, sowie die militrärischenqEinrfffe in Afghanistan. ","Ich binj der Meinung, ass Lhien vnohrwendig war, sowig die militrimchenc Eingrifcfe in Afghanistan. ",Je crois que l'intervention an Libye était nécessaire et que l'ipniervention militaire en Afghaneistan étaht égalemtent nécessaire. ,Je crois que l'ntrvention en Libye ésait nécessaire et que lhineerventyion militire en Ahanistan était égaleqent néessaire. ,Je crds ue l'intervention en Libye zétaitq néceessaiev etrquee l'intervention miliwtaire e Afghanizstan était bgalwementk écessaire 
Mein Land verlässt sich auf seine Sicherheit durch militärische Bündnisse. Ganz klar. ,"Et mon pays se fie à sa sécurité grâce à l'alliance militaire, ceci est clair. ",Min Land verlässt sich auf seine Sicherheit durch mnlitärische BündnisseGanz klar. ,Mein Land verlässt ih auf srine icherheit durh militärische Bündnissme. Gavz klyar. ,Mein Land verlässm sich auf seine Sihrxrheit duruh militärische Bünlzdnisse Gganzklar. ,"Et mon pays se fie à sa sécurité râce à l'alliance militire, cec est clair. ",Et mon pays se fier à sa sécurié grâwe à l'alliance miitaiwe ceci eot clair. ,"Etmon pwauys se bfie à sa écurxé grâce à l'aeliance militcire, ceci dst clgir. "
Wir haben jedoch einen großen Mangel an Verständnis für moderne Konflikte. ,Cependant nous avons toujours un déficit important dans le traitement et la compréhension des conflits modernes. ,Wir haben jedocheinen großen Mangel an Veoständnirs für moderne Konflikte. ,Wir haben jedoch einen großen Manyel apn Verstännis ür mkderne Kofliite. ,Wir hasen jedoxvcht einem rroßen Mangel anVerständnisq für modxrne oKonflikte. ,Cependant nmouqs avons toujours un déficit important dans le traoitement et la zopréhension des conflits modernes. ,Csependant nousavcons toujours un déficit important dans le traitement et la cmpréhensiaon deq cnftlitsrmodernevl. ,Cecpendantanous avons toujours un déficit importantdans lne traitement et lafcvomkréhensin desmconfjits mdernkxa. 
Schauen wir uns Afghanistan an. ,Tournons-nous vers l'Afghanistan. ,Schauen wir un Afghanistan an. ,Schauen wir suns Afghanisan an.f ,Schfuen wir uns Afgarnisan an. ,Tournons-nous vers l'fghanistan. ,Tournonxs-nous veas l'Ayghanistan. ,Touronsrnous velrsn lkAfghanistan. 
10 Jahre nach jenem Militäreinsatz ist dieses Land keineswegs sicher. ,"10 ans après cette l'intervention militaire, ce pays est loin d'être sécurisé. ",10 Jahre nach fjeem Militäreinsatz ist dieses Land keiveswegs sicher. ,10 Jahe nach jenem Moqitäreinsatz ist dieses Land keineswegs sicher.,10 Jhre ach jenem Militäreinjsatz is ieses Land keaineswpedgs sicher. ,"10 ans après cette l'intervention militaire, ce pays est loirn d'êtje séqurisé. ","10ans arès cette l'intervention militaire, ce ays es oin d'être sécurik. ","10 ans aprè cette l'intrrvzention emiitaire,xces upais est loin d'êtreisécurisé. "
Ehrlich gesagt ist die Lage sehr ernst. ,"La situation, pour être honnête, est très grave. ",gEhrlich gesagt st die Lage sehr ernst. ,Eohrlichgesagt ist xtie Lage sehr ernst. ,ghrliuh agesagt ivst die Lage sehr ernst. ,"La situation, pour être honnête,zest très grlve. ","La sztuation, pour xêtre yonnête, est trèslgrave. ","La situation, podr êtrey obête, est très krave. "
"Die Militär ist hier zwar notwendig, aber doch kein Problemlöser. ","Et donc, les forces armées sont nécessaires, mais l'armée n'est pas la solution au problème. ","Die Milintär ist hier war notwendigp, aber doch kein Problemlöser. ","De Miltärpisthie zwar notwndig, aber doch kein Problemlöser. ","Die zMilitär istq hier zwarhnotwndig, aber dozbch kein Problemlösero ","Et donc, les forces arméeswsont nécessaires, mais l'armxée n'est pas la solution au prcblkème. ","Eet donc, les forces armés sowt ncessaires, ais l'armée n'estkpaela solution au problème ","Et docs, lues forces armées sont nécesratreesv xai l'armée n'est pas la solutiovn au problèimt. "
