german,french,german_noise_random05,german_noise_random10,german_noise_random15,french_noise_random05,french_noise_random10,french_noise_random15
"""Diese Art von Wissen wird kaum niedergeschrieben"", gibt Dr. Davies zu bedenken. ","«Ce genre de connaissance est rarement couché sur le papier», constate le Dr Davies. ","""Diese Art von Wissen wird kaum niederrgeschriebenb, gibt Dr. dDavies zu bednken. ","""Diese Art vn Wismen wird kaum nixdergeschrieben"", gibt Dr. Daies zu bedekehn ","""DsieseArt von nWissentkwirp kaum niedergeschreben"", gibt Drf hDavies zu bedenken. ","«Ce genre de connaissanc est rarement coucqé sur lea papier», constate le Dr Davies. ","«Ce fenre de connaisvance est rarrement cuvhé sur le pjpier», constotefle Dr Davies. ","l«Ce fefzreu de cononaistance estrarcement couchésurle papier», constate le Dr Davies. "
"""Diese Art von methodischem Phänomen trat zunehmend in Erscheinung, wobei immaterielle Werte wie die Intelligenz von Mitarbeitern gemessen wurden"", sagt er. ","«Ce type de phénomène méthodologique était en plein développement - pour la mesure d'avoirs intangibles tels que l'intelligence des employés», a-t-il expliqué. ","""Diese Artu von methodischxem Phänomen trat zunehmend in Erscheinung, wobeiu immaterielle Werte wiexdie Intelligknz von oitarbeitern gemessen wurden"", sagt er. ","""Diese Argt von methodischem Phänomen trpt unehmedin Erschenung, wobei immatergelle Wbertejwie xie Intvelligenz vdon Midtarbeiern gemessen wurden""d sagt er. ","""niese Artj von metodischemPhänomen trat zuncehmend in Erschinung wobeiimmaterigelle Werte aie pi Indtilligeznz von Mitarbeitern gemessena rden"", sagt r. ","«Ce typf de phénomkne méthrodologique était en plein développemxent - pour la mesure d'avoirs insangibles tels que l'intelligencxe de employéws», a-t-il expliqué. ","«Ce type de phéhvojène éthodoloique était en pein dévloppement -pour la mesure d'avoirs intangiblesztels que l'intelligence des employé», a-yfil pxpliqué. ","«Ce type de phwénomègn métodologique étoait en plgin dévalopemnt - pour la mesrse ds'avoirs intaingiblos tleqls que l'ipntelylkgence eso employés», ast-ilexpliqué. "
Eine solche quantitative Übereinstimmung zwischen den Simulationsergebnissen und den im Labor gemessenen Werten ist in der nonlinearen Optik ziemlich selten.“ ,Cette correspondance quantitative entre ce que l'on obtient à l'écran et ce que l'on mesure ensuite en laboratoire est plutôt inhabituelle dans le domaine de l'optique non-linéaire.» ,Eine solhe quantitativ Übereinstimmung zwischen den Sihmulationsergebnissen und de m Lapor gedmessenen Werten ist in der nonlinearen Optik ziemlich selten.“ ,Eine solche quantitative Übereinstimung zwischen denbSimulationsergsbnissen und djn im Labor gejmeuwsenenh Wemrten ist in der nonlinsaren ptik ztzemlich selten.“ ,Eie solche uanitative Üboereinstimung zwischen den Simuqatitonsergebnssen ujnd dl im Labor gemessenen certefn ist rin deronlinearanw Optik ziemnich selen.“ ,Cette corjrespondance quantntative entre ce que l'on obgien à l'éccran et ce que l'on mesure ensuite en laboratoire est plutôttinhabituelle dans le domaine de l'optique nohn-linlaire.» ,Cetez crorrespondance quantitatlive entre ce qe l'on obiednt àl'écrn et e que l'op mesure ensuite en lbboratoire est plutôtb inhabituell nans le domaine de loptique noni-linéaire.» ,Cettescorresongdancu quanstitativw entre ce que lr'on tbtint à 'éccrasn et ce que l'on mesure enslite en aboratoireojest plutôtha inhabituelle dans le somwaine duel'optiquexnon-ldnéagrez» 
Dieses Kit wurde vor kurzem in einer landwirtschaftlichen Gemeinde in der Kap-Region von Südafrika getestet. ,Ce kit a été récemment testé dans une communauté agricole de la région du Cap en Afrique du Sud. ,Dieses Kit wurde vr kurzem in einer lanwirtschaftlichen Gemeindefin der Kap-Region vonSüdafrika getestlt. ,Divaeses Kitwurde vorc kurdemw in einer landwirtschafrtlichen bGemeinde in der Kal-Region von Südafrika getestett ,Daiepes Kit wurde vor krzem in einer ladwrtschatxlichnGemewinde in der Kapq-Region von Süafria getesftext. ,Ce kit a été récemmcent testé dans une communauté agricole de la yégion du Cap en Apriue du Sud. ,Ce kita éte récemment xtesté dans une communauté agrcole de la région du Caw en Afrique au Su. ,Ce kit a été bécmfiment testé dans unecommupnauté agritle de la région due Cap enmfrique du kud. 
"Dieser Asteroid mit einem Durchmesser von 950 km, das erste entdeckte Objekt dieser Art, wurde 1801 von dem italienischen Astronomen Giuseppe Piazzi beobachtet. ","Cet astéroïde d'une largeur de 950 km, le premier objet de ce type découvert, avait été observé par l'astronome italien Giuseppe Piazzi en 1801. ","Diesear Asteroid it einem Durchmesser von 950 km, das erste etdeckte Omjekt dieser Art, wurde 1801 von dem italienischen Astronomen Giuweppem Pbizzi beobachtet. ","Deoer Asteoiu it einh Durchmesser von 950 km, das erste enztdeckte Oobjekt dleser trt, wurde 1801 on dem italienicchen Astronomoen Giusepipe Piazzi beobachet. ","Dipeseqr Asteqid mit eine Durhmesser evotn q95k0 km,as rste entdeckte Objektqdiesr Art, wurde 1801hvon dem itelcenischen Astronmen Gtusepe Piazzi beobachtet. ","Cet astzérowde d'une largeur de 90 km, le premoier objet de ce type dérouvert, avit été observé par l'astronome italien Geuseppe Piazzi en 1801. ","Ceyt astéroïde dune largeur de 950 bmu, le premier objt qde cel type bdécouvert, avait été obsrvé par l'astonoqe italien iiuseppe Ptazzi en 1j801. ","eet asjtéroïde duny largeux deb90 km, le zrxemier objet de ce tpe déouverpt, avaitté onswerv par lcastronome itaien Giuseppe Piazxzi en 1801. "
"Mit dieser Fähigkeit überbietet er die meisten anderen Organismen, die für diese Aufgabe zwei verschiedene Enzyme benötigt. ","Cette fonction lui confère une place différente par rapport à la plupart des autres organismes, qui ont besoin de deux enzymes différentes pour effectuer le travail. ","Mit dqeser Fähigkeit überbietet er die meisten anderen Organismen, die für diese Aufga zwei verschjedene Enzyme benötgt.s","Mit dqieser Fähigkeiqbt überiectet er die meistenandheren Organismjen, die ffür diese gAufgabe zwewi verschiedene Enzyme bentigt. ","tit diee Fähigkeit übmbietet er ji meisten aynderen Organibskmen, die für diese Aufgabe zcei vxrschieene Enzyse benötigt.c ","Cette fonction lu confère une place diffédrente par apport à la plupartds autres organismes, qui ont besoin de deux enzymes différentes pour aeffectuer le tnravil. ","Cette foctxon lui confère une place différente par rapport à la psuparhtfgddes autres orgjismesl,qwui oant besoin de deux enzymes différentes pour effectuer le travail. ","Chtte dfonmtion lui confère ule placsdifférentey par rawpport à hla plupart des dautres orgenismesq, qui ont bsozn de deuxvexzymes diféree pour effectuel le traveail. "
Dieses wissensbasierte System soll die Anwendbarkeit des MRS-Verfahrens verbessern und seine Verbreitung in Europa beschleunigen. ,Ce système de connaissances devrait favoriser l'applicabilité de la technique dite de SRM et accélérer son recours en Europe. ,Diese wissensbasierte System soll die Anwendbarkeit dqs MRS-Vearfahrns verbessern und seine Vrbreitung in Eurocpa beschleunigen. ,Dieses wissensbasierte Sysem sollf die Annendbarkeit d MRS-Verfahrens verbesern und silne Vrbreitung in duropat bescileunigen.u,Dieles wisgensoaqiert Smstemy soll die Anwendbarkeit des MRS-lVerfahrens verbessern und seine Verbreijvung inhura beskcqhleunmigens ,Ce systèfme de connaissances devait favoriser l'applicabmilité deqla techniquedite de SRM et accélérer on recours en Europe. ,Ce système de coaissancesbdevrant fpvoriser l'applicabiliuté de la technique mite demSRM et acélérerson recours en Europe. ,Ce sycstème demconnaissancces devaitb fcavoriser l'applicabilité dve la terbchnique kote de SRM etfaccélrer uson receours euEurope. 
"Dieses Wissen hilft bei der Suche nach neuen Strategien zur Behandlung von MRSA."" ",Ces connaissances contribuent à de nouvelles stratégies pour traiter le SARM.» ,"Diesef Wissen hilft bei der Suche nach neuen Strateqgiken zur Behandlung yvon MRSA."" ","Dieses iisshe hilft nbei der Suche nach neuenkStrategien zur Behandlung vnon MfRSA."" ","Dieses Wiwscsen hilftd bei der Sucte nach neuen Strafegien zud Bfehandlung vnMRbSA."" ",Ces coynaissances contribuent à de nouvelles stratégiespour traiter le SARM. ,Chs xonnaissancesr contribuent à de nouvelles stratéies pojr raiter le SARM.» ,es connaissances contribuet à e aouvels straaégyies wpour traiter pe SARM. 
Gleichzeitig wird die Pharmaindustrie ihren Bedarf an Versuchstieren und Testpersonen bedeutend reduzieren können. ,Le secteur sera dans le même temps en mesure de réduire sensiblement le recours aux animaux de laboratoire (ainsi que les tests sur l'homme). ,Glesichzeitig wird die Pharmarndrustrie ihen Bedarf an Versuchstieren und Testpersonen bedeutend redurzieren können. ,Glichzeiti wird ie Pharmaindustri ihrer Bedarf sntVersucstieren utnd Tespersonen bedeutend reduzireren können. ,lecxzeitig wird die Pharmaidustiie ihre Bsdarf an aerpuchstrierwen nnd Testpersonien bedezutend reduzierun skönnen. ,Le secteur sera das le même temps en mesure de rédaeire sensliblement le recmours aux animaux de laboratire (ainsi que les tsts sur l'homme). ,Le secteur sera eank le même tempss axn mesre de réduire sensiblement e recours auxb animaux delaboratoire (ansi que les tests srnhomme). ,Le sectvesr sera dans le mke teps esn mesue deg réduire sensiblemunt le recours au animaux de lboratoiesainsi quvues tests sur lg'hobmme). 
"""Diese Erkenntnisse haben sehr starken Einfluss auf Management und Entscheidungskompetenzen im privaten und staatlichen Sektor."" ",«Ces connaissances sont extrêmement importantes pour la gestion et les compétences de prises de décisions du secteur privé et du gouvernement.» ,"""Diese Erkenntnisse haben sehr starken Einoluss auf Manayemeknt und ntscheidungskmpetenen im privaten und staatlichen Sektor."" ","""Diese Erkenntniaseq aaben jsehr stlrken dinflusis auf Manahgement utd Entscheidungskometenzen im privaten und staatkzlichen Sektor."" ","""Diese Erkkenntnsse hbn sehr starke Einfluss uf Management ung qEntschedungskompetenien imyprisvattn unk staatlsiohehn Sektor."" ",«Cyes connaissances szont extrêmement idportantes pour la gestion eh les compétences deprises de décisionsf du secteur pivé et du gouvernement.» ,«Cme connaitsinces sont extrêmecment impofrdnses pour glja gestion et les compétences de prises de décisions du secteur priv et du ouvernement.» ,«Ces connaissances sont extrêmement isportandes pour la gestiqon et lms ompétences de prsey de déccsions duzxpecteur privé euqu guvqwrkment.» 
Dieses Wissen könnte sich auf die künftige Auswahl von Provenienzen auswirken. ,Ces connaissances pourraient modifier la sélection future des provenances. ,Dieses Wissen könnte sich aufdie künfge Auswahl von Provenienzen auswirken. ,Dieses Wissen könnte sih apbf dne künctige Auswahl von Provenienzen aiswirken.,Diesesh Wiussew kömnte sich auf xie ruünrftige Auowahl von provenieqzen auswirken. ,Ces connissances pourraieylnt modifier la sélection future des provenances. ,Czes connaissances purraien modifier lao séetion fuiture des provenances. ,es connaissanues pouraient modifuaez lp sélectio future cdks prvenances. 
"Mit diesem Wissen können neue therapeutische Ansätze entwickelt werden, darunter auch solche, die das Ökosystem des Darmtrakts positiv verändern. ","Ces connaissances permettront le développement d'approches thérapeutiques, y compris la modification bénéfique de l'écosystème intestinal. ","Mitymdiesem Wissen können neue thrapeutische Ansätz entwicheltwerden, darunter auch solche, die das Ökosystem des Darmtrakts positv verändern. ","Mft diefem uWissen können neuetherapeutische Ansätze enytwickewt werdel, darunter achm slche, die das Ökosysitem des Dagxrmtrakts positiiv verändern. ","Mit diese Wissn köannxenyneue therapeutische Ansäte entwickelr wegdend, darulte auch zsolche, sie dasjÖkosystem des Damtraktsositivvrärdern. ","Ces connayssances permemttrony le développement d'approches thérapeutiues, y compris la modificaion bénéfique de l'émosystème intestinal. ","Ces connaissances permzttront e dévdeloppement d'aqpproches thpérapeutiques, y compris la modificaion bénéfiqu del'écoswsftème intestwnal. ","Ces ctnnaxissaces permwtront le développerment d'apprche théranueutiques,x y compris la modfcaton bénédfique de 'cosystème inestinalt. "
"Dieses Wissen wird dazu beitragen, dem plötzlichen Herztod vorzubeugen und Patienten mit einem erhöhten Risiko zu behandeln. ",Ces connaissances permettront de prévenir et de traiter les patients soumis au risque de mort subite par arrêt cardiaque. ,Dieses Wisusen wird dazu beitragen dem plötzxichen Herztod vorzubeugen und Patienten mit einem erhöhvten Risixo zu bhandeln. ,"Diesels Wisslnrwird dazu beitragen, dem plötzlichen Herzpod vrzubeucen unld Patektev mit eineh erhöhmten Risiko zu behandeln. ","Diess Wissen wird dgzu geitragen, dem lötklchen Herztod vyorzubeugen undwPatiendn mit einem erhclhtenl Risiko zu buandedln. ",Ces onnaissances permettront de préveir et de traiter les patients soumis au risqxuede amort subite par arêt cardiaque. ,Ces connaissanhesgpermettror de prévenirm et de traiter lesvpatientsoumis au risque de modrt subime par arrêt ycardiaqjue. ,Ces connaissancespeornmettrrnt de préweniree de raiter les pawtienys syumis ap risque de mort subite pvrarrêkcardiaque. 
"Dieses Wissen könnte zu einem besseren Verständnis von Krankheiten wie Alzheimer, Schizophrenie und Schlaganfällen beitragen. ","Ces connaissances permettraient d'approfondir notre compréhension de la maladie d'Alzheimer, de la schizophrénie et des attaques cérébrales. ","Dieses Wissen könnte zu einem besseren Verständis von Krankheiten wie xlzzebimir,Schizophrenie und Schlaganfällen beitragen. ","Diese Wisey könnte zu eine besseren Verstädnis von Kranskheiten wiexAlzheimer, Schizophrene und Schlganfällen bgetragen. ","Dieses Wiqssenkönnte zu einem beessern Verusztändnis vonaKrankheitn wie Alzheimer,zSchizoprenie und Schlaganfäwjllcen befidragwgn. ","Ces connaissances pelrmettroient d'apprdhofondir notrepcfompréhension de la maladie d'Alzheimer, de la schizophrénie et des attaqus cérébrales. ",Ceg conaissancespermettraient d'approfondir nodre compkréensidn de la maadie d'Alzheimfer de la schizophrénie et des attaques cérébmalxes.x,"Cesl conaissances permettraientv d'zlproondmjiro notre fompréhxension dehla xmaqadie d'Alzheimer, de la ochiszophrénie t qes attaques cérébrales. "
"Eine fehlende sichere Versorgung aus dem Inland bedeutet, dass die Industrie unvorhergesehenen Engpässe, Preissteigerungen und Problemen mit der Lieferkette ausgesetzt ist. ","Ce manque de source locale expose le secteur à des pénuries imprévisibles, à l'augmentation des prix et aux problèmes des chaînes d'approvisionnement. ","ine fehlende sichere Versorgung aus dem Inland bedeutet, dasj die Industri unvorherxgesehenen Engpässe, Preissteigeroungen und Problemenmit der Lieferkette ausesetzt ist. ","Eine fefhleie sichee jVersorung amus dem Inland bedeutet, dass die Industorie unorhergusehenen Egpässe, Pissteigerungen und Problemen mit fer Lieferkette ausgekesetczt ist. ","Einefegende sihere Vgrsorgung aus demInlao tbedeutet,dadssdie Incdustrie ungvohergesehvnen ngässe, mPreissteigeprngen und Problemenj mit duer Liefekette ausgesetztfist. ","Ce manque dem source lcale uexpose le secteur à des pénuries imprévisibles, àfl'augmentation deps xprix et aux problèmes des chaînes d'approisionnement. ","Ce mque dpe source locale exposeyle tecteur à des pénurieseimrprrévisibxles, à l'augenttionqdes prix et aux proylèmes dces chaînes d'apprlvisionnement. ","Ce manque dp surchlocale expose lesefvteurl à des pénunies imprévigibles, à l'gumntation des prixy et abux provlèmfrs des chaînes d'approvisionnemenj.y "
