eng,tur,similarity_score
Hundreds of people are gathered,Bazı insanlar toplandı.,2.8
The men on a roller coaster.,"Çift, bir hız treninde.",2.8
This waffle will be delicious.,Bu restoran yiyecek servis etmez.,0.4
A Houston baseball player has caught a ball and is now throwing the ball towards another team member.,Rakip takımın bir üyesi topu yakalamak için uzanırken bir beysbol oyuncusu koşar.,1.8
The crowd cheers on the breakdancer as he shows off his dance moves.,Kalabalık onlara tezahürat yaparken grup konser verir.,1.6
A man next to a police officer is walking away from another man.,"Bir adam iki market torbası taşıyor, yakınındaki direğin yanında komik bir adamın işareti var.",0.2
A child is in the middle of a crowd with their hands raised.,Bir kadın ve bir adam kalabalığın ortasında.,1.8
Someone is doing something athletic while gesturing.,"Bir kişi, başka biri ona bakarken rap yapıyor.",0.6
A woman in a pink shirt examines her camera.,Siyah gömlekli bir kadın kamerasına bakar.,3.6
He is lost and not aware of what he's doing.,"adam, yukarıdan şapkasının nasıl duracağına dair daha iyi bir fikir edineceğini hissediyor.",0.0
the boy jump kicks off the dock,Bir çocuğun sıçraması iskeleyi göle düşürür.,3.8
"A male athlete falls after jumping a hurdle, into water, while people take pictures.",Üç çocuk umumi bir yerde bir adam oturup onları seyrederken zıplama hareketleri yapar.,0.6
An older man in a dark shirt is resting his chin on his hand while writing on a newspaper.,Elinde bir yazı olan bir çocuk mağazada ayakta duruyor.,0.6
People are sitting on a park bench while there are 3 pictures visible in the foreground.,Üç insan kenarda oturuyor.,1.2
A large chorus erupts.,"Kocaman bir kalabalık, bir heavy rock grubunun önünde çılgınca dans ediyor.",1.6
Two police talk together in the middle of the road.,İki kız yolun ortasında değil.,0.8
Two men are using shovels to dig.,İki adam kazmak için el kürekleri kullanıyor.,4.2
Several people are standing in front of a stadium.,İki insan bir kalabalığın önünde.,1.8
The man is sitting in the park.,"Kadın, parkta dinleniyor.",2.0
A woman and man on a bench.,Bankta oturan bir adam ve bir kadın.,5.0
A couple walks through the rain with their child holding umbrellas.,İnsanlar yanlarından yürürken ellerini çeşmeye sokan iki kız.,0.4
People have gathered to watch an event.,İnsanlar bir konseri izlemek için toplandı.,3.8
The girl in purple is followed by the girl in pink,"Mor mayolu kız, kırmızı gözlüklü kızın ablası.",1.8
A tall person in midair.,Süslü bir yüzü olan bir kişi havada.,3.4
Adults are watching their children play.,Üç kız yukarı bakıyor.,0.0
Two girls are crying because a boy kicked them in the shin.,Oğlan ve kız el ele tutuşuyor.,0.0
A man bikes down the street.,Bir adam sokağın aşağısına doğru sürer.,2.6
The diver is in the ocean.,"Adam, Kuzey Buz Denizi'nde okyanusun ortasında yüzüyor.",2.4
People watching an interesting thing.,"Üç kişi, bir adamı bir şey yaparken izliyor.",3.2
People are sleeping inside.,İçeride insanlar uyuyor.,5.0
There are a lot of people riding bikes.,"Bazı insanlar yürüyor, oturuyor veya bisiklet sürüyor.",2.8
A man is helping a lady put her goods in baskets.,"Genç bir adam, çiftçi marketinde eşinin yardımıyla kurabiyelerini satıyor.",0.6
A woman who is wearing a vest is on a subway.,Yelek giyen bir adam bir metroda.,2.2
A boy is swimming in the ocean on a sunny day.,güneşli bir günde okyanusta sörf yapan bir adam.,2.4
A man is in his pajamas watching TV.,"Bir adam, koltuğunda oturarak televizyon izliyor.",2.8
Two children read in bed.,Anne ve üç çocuğu evde uyuyor.,0.6
A bar with signs advertising beers such as Bud Light and Corona.,Kahverengi bira şişesinin adı Winter Hook'tur.,1.2
the woman holds something,Adam bir şey tutar.,2.8
Three people play cards.,Bazı insanlar bir kart oyunu oynuyor.,4.0
A hiker is on the bottom of a hillside.,Bir adam dağın yan tarafına tırmanıyor.,1.8
A young man works for a museum.,Genç bir adam ve kadın bir müzede.,2.2
A teenage boy jumps into a pool in a tropical locale.,Bir kız havuza dalış yapar.,1.6
Two men sitting in a doorway working on something.,Onlarla konuşan elbiseli bir kadına bakan ahşap patikada ayakta duran iki adam.,1.0
James likes to pray in church.,Baba ve oğul kilisede.,1.2
A man is surfing in the Atlantic Ocean.,Okyanusta sörf yapan bir kişi.,3.6
The men shoveled the snow.,Adamlar kürekle kazdı.,3.8
The man is riding a hover board through the streets.,Bisikletteki adam sokakta bisiklet sürüyor.,1.6
The mosaic workers were commissioned to design the tile floor.,Beyaz ceketli iki mozaik işçisi ayrıntılı bir şekilde tasarlanmış fayans zemin üzerinde çalışır.,3.4
There is a man wearing a shirt.,Mavi bir gömlek giyen bir adam var.,4.2
Two police officers on scooters turn back towards the camera.,iki atlı polis memuru sokağın aşağısına ilerliyor.,2.0
A teacher's assistant grades papers in a coffee shop.,Adam bir mağazada çalışır.,0.2
The big dog is chasing a ball.,Küçük köpek bir topu kovalıyor.,3.2
The man is holding a tube.,"Adam, kadın için mikrofonu tutuyor.",1.4
A clown is preparing to do surgery.,"Bir bebek, güzel vakit geçiriyor.",0.0
The man in a green shirt is waiting for them to deliver his brush shredding machine.,Kırmızı ceketli bir adam bir kağıt parçasını okumaya çalışırken kendini güneşten koruyor.,0.4
A man wearing a pink shirt is riding the subway.,Trendeki adam mavi bir gömlek giyiyor,2.6
"Two dogs, one holding a ball.",İki köpek ve bir top.,4.0
The older woman is feeding oranges to the man.,Bir kadın ve oğlan suyun içinde.,0.0
Three kids sit and listen to a librarian read a story.,Çocuklar oturur ve bir hikaye dinler.,4.0
"A guy in a white shirt is holding some wires, and tools.",Beyaz gömlekli bir adam birkaç kablo tutuyor.,4.0
There is a man in a beret and a woman in a pink coat.,Siyah paltolu bir adam var.,1.2
A group of people cheering for a statue of Barack obama,insanlar bir sancağı tutuyor,0.2
A woman sitting in a pool holding a martini with a baby laying next to her.,Bir kadının oturduğu ve yanında bebek arabası bulunan bir piknik masası.,1.2
The dogs are walking.,Köpekler oturuyor.,2.2
There are boys outdoors.,Dışarıda kızlar var.,2.2
A group of ladies in the cold cheer with American flags.,Geçit töreni sırasında bir grup kırmızılı ve beyazlı amigo kız moralimizi yüksek tuttu.,0.8
A group of male and female cheerleaders are outside cheering for the football team.,Genç bir arkadaş grubu futbol takımına tezahürat yapıyor.,2.4
A couple attempting to establish telephone communications.,"Bir kişi, şarj olan bir cep telefonunda e-postasını kontrol ediyor.",1.0
A bird flying over a desert.,Bir alana iniş yapan bir kaz sürüsü.,1.2
A white dog and a brown dog running across a grassy field.,Çimenlik bir alanda koşan siyah bir köpek ile beyaz ve kahverengi bir köpek,3.6
A man is playing a game on his laptop.,"Genç bir oğlan, bir oyun konsolunda oynarken bir yüz ifadesi yapar.",2.2
Young man attempts to repair wiring job.,Bir adam bilgisayarlarını tamir etmeye çalışıyor.,1.8
A statue with with a bit of wear.,Siyah bir şapka giyen ve gözlük takan bir adam elindeki bir nesneye bakıyor.,0.0
Man riding a bicycle in New York,New York'ta bisiklet süren adam.,5.0
A man in a brown hat is helping a man with no hair up off the ground.,"Ceketli ve şapkalı geniş bir adam, bir şeyi kulağına doğru tutuyor.",0.4
The man jumps on the ground and dances.,Adam zeminde dans ediyor,3.8
A man is sleeping and a clown is in front of him.,Bir adamın önünde bir kız var.,0.8
Two bicyclists are running over a hill while carrying their bicycles.,"Adamlar, küçük motosikletleriyle toprak yoldalar.",0.4
Men are hiking a mountain.,Bir şelalenin yakınında yürüyüş yapan iki kişi.,2.4
The sad lady in the blue shirt is waiting to cross the busy street.,Mavi gömlekli bir adam kalabalık sokakta karşıya geçmek için bekliyor.,2.6
Some people are in an inflatable raft.,Salda bazı insanlar var.,4.2
Friends are partying with e new band,"İki çocuk, görüntülü sohbette babalarıyla konuşurken gülümsüyor.",0.0
A man is sitting at a table while playing poker.,"Bir kadın, kumarhanede masada oturuyor ve yirmi bir oynuyor.",1.8
A young boy brushes the teeth of a fake alligator.,Sahte bir timsahın kuyruğuna tutunan bir çocuk.,2.0
An old woman is walking by a building with graffiti on it.,Bir kadın bir binanın yanından yürüyor.,3.6
boy scouts play a game,bir oğlan beysbol oynuyor,2.8
the old man is thinking hard,Yaşlı bir adam bir şey kesiyor.,0.6
three sports persons posing for the photo,Üç atlet fotoğraf için poz veriyor,4.6
A vehicle is parked.,Dışarıda bir araç park etmiş.,4.0
a group of rabbits eat carrots,bir grup köpek marul yer,0.8
A group of musicians perform in front of six people.,"Tüm grup, bir barda dans ediyor",0.4
A line of spectators are betting on the race.,"İki koşucu, bir pist yarışının sonunda yorgun.",0.8
There is a person ready to compete in a swimming competition.,"Bir adam, özel bir havuzda tek başına yüzüyor.",1.4
A boy throwing a yellow baseball.,"Beyzbol sopası olan, bağıran bir çocuk.",1.4
Two men are playing pool for money.,Üç adam havuzda eğleniyor.,0.0
A child is holding a trident.,Bir çocuk bir silah tutuyor.,1.6
a young man wearing a blue shirt with a strange white building in the background,"Mavi gömlek giyen genç bir kadın, evindeki masanın yanında yeşil bir nesne tutuyor.",0.8
workers tend to a transit stop,İnsanlar bir trenin gelmesini bekliyor.,0.4
A boy is in a tree.,Ağaçta kalan bir çocuk.,3.0
A man is reading a news article.,Bir kadın bir gazete okuyor.,2.4
Working all night.,Üç köpek birbirlerinin en iyi arkadaşıdır ve her gün birlikte koşup oynarlar.,0.0
Women in a sewing factory with red fabric.,İki kadın fabrikada kıyafet dikiyor.,3.4
An Asian woman waiting for the show to begin.,İnsanlar gösteri için beklenti halindeler.,3.2
A man is standing on the rocky ground in front of the mountain.,"Adam, okyanusun önünde durur.",0.8
A woman on a beach at sunset is suspended in the air.,"Bir çocuk, sahilde havaya atıldı.",1.2
kayaker feel happy,Kimse ağlamıyor,0.0
The old man and the sea are part of this scene.,Adam ve çocuk çölde ayakta duruyor.,0.4
People and a dresser are waiting at a bus stop in front of a brick building.,Çok az insanın olduğu bir sokakta bulunan ve kapısının yanında bir bisiklet olan kırmızı tuğlalı bina.,2.2
The surfers are wearing wetsuits.,Şort mayo giyiyorlar.,2.2
A couple of men are sailing a boat.,Birkaç erkek kayığın küreklerini çekiyor.,3.4
The people are really aliens.,İnsanlar bir şey arıyor.,0.2
The man is sleeping during his job,İşten sonra dinlenen bir adam.,2.6
the train tracks are broken,Tren rayları ahşap.,1.8
A blond woman with a pink shirt and black leather pants holds a camera on a running track.,Sahneyi kuran siyah ceket ve kot pantolon giyen bir adam.,0.0
A baby crawling all over their father excitedly.,İki çocuk ellerini bir araya getirir ve başka bir çocuk ellerinin altından geçer.,0.0
A snowboarder in green grinds along the edge of a rail at night.,Yeşil bir bisikletteki yeşil giymiş bir adam rampadan atladıktan sonra havada.,1.4
Two kids cleaning up their room,Çocuklar temizlik yapıyor,4.0
A little girl is playing with some dough.,Küçük bir kız bir su topuyla oynar ve kahkaha atar.,2.2
on of the boys is performing an ollie,"Çocuk, çeşmede oynuyor.",0.8
People walk down a street during a sunny day.,Güneşli bir günde sokakta yürüyen insanlar.,5.0
Workers are busy at their job.,"İşçiler, işlerini yapmak üzere gece dışarıdalar.",3.4
A young Asian boy is waving a sparkler around at night.,Bir adam ve bir kadın evde bir geçit törenini izliyor,0.0
A man in a suit by a stoplight.,Trafik lambasının yanında mavi takım elbiseli bir adam.,4.0
The musicians are practicing in an empty room.,"Müzisyenler, özel bir odada alıştırma yapıyor.",4.0
The young boy reaching for the baton from the girl as he runs the relay race.,Çocuk ilk defa sörf yaptı.,0.0
Two peope are sitting outdoors.,Dışarıda yürüyen üç adam var,2.0
An art gallery is being set up.,"Bir adam, sanat galerisi için resim yapıyor.",1.0
An accident between two automobiles has grabbed people's attention.,Kazaya iki araba karıştı.,3.4
The leotard is red.,Şapka beyaz.,0.2
A boy is being chased through a toy tunnel by a dog.,Çocuk bir köpek tarafından kovalanıyor.,3.8
A windsurfer dressed in teal is on his boogie board.,Mohawk stili saç kesimi ve sörfçü şortu olan bir adam sahilde yarım sörf tahtasında duruyor.,2.6
a person is with a cute child,"Bir adam, sevimli bir çocuğu olan bir kadın.",3.0
Two people look up towards a gold statue.,İki çocuk bir heykelin eline tırmanıyor.,2.0
People making music together,Birlikte müzik yapan insanlar.,5.0
A photographer takes pictures of a family that includes four children and two parents,Bir anne ve iki çocuğu aile fotoğrafı çekiyor.,2.0
Some men doing volunteer work at the park.,Adamlar işteler.,2.0
A man imitates Superman.,"Adam, bir örümcek adam kostümü giyiyor",2.0
A boy is relaxing on the beach.,Bir oğlan sahilde yürüyor.,3.2
A group of people are waiting to see a rock concert.,Bir grup insan bir müzik grubunun performansını izliyor.,3.4
Motorcyclists taking a break.,Mola veren iki bisikletçi.,4.2
A competitive runner taking her first sprint in a competition.,"Atlet, uzun atlama karşılaşmasında yarışıyor.",1.2
A boy is wearing an all black outfit.,"Bir atın üzerindeki siyahlı ve sarılı bir adam, kırmızı giyen bir kişiyle konuşuyor.",0.6
The woman is wearing a ballcap.,"Kız, bir beysbol şapkası takıyor.",3.8
The construction workers appear through a wooden fence.,sokak tabelasının arkasındaki kısmen inşa edilmiş bir binada duran birkaç işçi,2.2
lady and man sitting on couch reading in sweats,Kanepede uyuyan pijamalı genç bir oğlan.,0.8
A rock climber with a white helmet is repelling.,Beyaz kasklı bir kişi kayalara tırmanıyor.,3.8
People strolling casually across a bridge.,İki kişi terk edilen sokakta gelişigüzel yürür.,2.6
A man in a khaki colored uniform carries a brunette woman in white clothing on his shoulder.,"Kırmızı gömlekli bir kadın, kendisinden daha genç olan beyaz gömlekli bir kadını mavi bir mata iliştiriyor.",0.4
A coach smiles at a player.,"Bir koç, oyuncularıyla birlikte kenarda durur.",2.4
Six women wearing black jackets and bright red boas smile at the camera.,Sarı gömlekli üç kadın kameraya gülümsüyor.,1.6
There are 70 participants on each team on the field.,Sahada iki takım var.,2.8
A large family poses for a photo.,Fotoğraf çeken bir aile var,4.0
A girl is inspecting a machine.,Bir kadın bir makineyle çalışıyor.,3.4
