eng,spa,similarity_score
"Manning responded that he would verbally express concern about issues and that the visiting officers would talk through the concerns and indicate that they would be addressed, but they didn't record the issues.","La tripulación respondió que iba verbalmente expresan preocupación por temas y que los funcionarios visitantes se habla a través de las preocupaciones e indicar que serían abordados, pero no registrar las cuestiones.",2
"Mission over, Congress ready to agree on Libya","Durante la misión, el Congreso dispuesto a ponerse de acuerdo sobre Libia",3
"The language may sound innocuous, but nothing about the Libya debate has been easy so far.","El lenguaje puede parecer inocuos, pero nada sobre la Libia debate ha sido fácil hasta ahora.",4
"Most Americans probably never give a thought to the fact that, in 1848, the United States invaded Mexico and forced its leaders to sign over half their territory at the point of rifle.","La mayoría de los estadounidenses probablemente nunca reflexionar sobre el hecho de que, en 1848, los Estados Unidos invadió México y obligó a sus dirigentes a firmar más de la mitad de su territorio a punta de fusil.",3
Mr Obama also has a part in getting Israel to the table.,El señor Obama también tiene un papel para llegar a Israel a la mesa.,3
"It's a cultural barrier with district attorneys, said Sean McAllister, a Denver lawyer who represents marijuana defendants and is a local spokesman for the National Organization for the Reform of Marijuana Laws.","Es una barrera cultural con los abogados de distrito, dijo Sean McAllister, un abogado de Denver que representa a los acusados de marihuana y un portavoz local de la Organización Nacional para la Reforma de las Leyes de la Marihuana.",5
"Even from a very early age you can see that kids understand the message that the tobacco company is trying to sell through their branding, said the federal health minister, Tanya Plibersek, citing studies that showed, for example, children linking a crown in a logo with the idea of being a princess.","Incluso desde muy temprana edad puede ver que los niños entiendan el mensaje de que la empresa tabacalera está tratando de vender a través de su imagen, dijo el ministro de salud federal, Tanya Plibersek, citando estudios que muestran, por ejemplo, los niños que une una corona en un logotipo con la idea de ser una princesa.",5
"During his first term, he neglected to present his own plan for peace.","Durante su primer mandato, que se olvidó presentar su propio plan de paz.",5
The writer A?N Wilson announced waggishly that I'd departed because I was forced to drink out of chipped mugs.,El escritor A N waggishly Wilson anunció que había salido porque estaba obligado a beber de astillas tonto.,2
"In March, 58 senators voted in favor of a non-binding resolution supporting the idea of such an amendment.","En marzo, 58 senadores votaron a favor de una resolución no vinculante que apoyan la idea de dicha enmienda.",5
"It's a force that suffers low morale, poor readiness and is unable to keep up with potential adversaries.","Es una fuerza que sufre la baja moral, la mala disposición y es incapaz de mantener con los potenciales adversarios.",5
"Sales and marketing makes it more successful, so [it's those kinds of people] who end up running companies and the product people get driven out of the decision-making forum.","Las ventas y comercialización hace más éxito, tan [es ese tipo de gente] que acaban de empresas y el producto que las personas expulsadas del foro de adopción.",2
"The lawyer who will stand before the court and argue that the law should be thrown out is likely to be Paul Clement, who served as U.S. solicitor general during the George W. Bush administration.","El abogado que van a comparecer ante el tribunal y argumentan que la ley debe ser expulsado es probable que sea Paul Clement, que actuaba como procurador general de los Estados Unidos durante la administración de George W. Bush.",5
"Lee Howell, the managing director of the World Economic Forum, likewise questioned why India's reserves should be used to keep Greece's numerous and well-paid public sector workers in jobs in poorly managed, loss-making utilities like the railways.","Lee Howell, el director gerente del Foro Económico Mundial, también cuestionó por qué las reservas de la India debe utilizarse para mantener numerosas de Grecia y los trabajadores del sector público en puestos de trabajo bien remunerados en mal gestionados, aerolínea de los servicios como los ferrocarriles.",5
"The topic is a sensitive one for military leaders, who do not want to appear ungrateful or at odds with the public they serve.","El tema es delicado para los dirigentes militares, que no quieren parecer desagradecidos o en contradicción con el público que sirven.",5
"Half a day in an airport waiting for a flight is pretty tedious, even with the distractions of books, magazines and iPhones (not to mention duty-free shopping).","Medio día en un aeropuerto esperando un vuelo es bastante tediosa, incluso con las distracciones de libros, revistas y iPhones (por no mencionar la venta libre de impuestos).",5
The writer A?N Wilson announced waggishly that I'd departed because I was forced to drink out of chipped mugs.,El escritor A N waggishly Wilson anunció que había salido porque estaba obligado a beber de astillas tonto.,2
"It was appropriate to do it when the smallest number of people were in the park, he said.","Es apropiado hacerlo cuando el menor número de personas estaban en el parque, dijo.",5
"Before, when you tried to survey people from the British National Party, it would be very difficult to identify them.","Antes, cuando se trató de encuesta personas del Partido Nacional Británico, sería muy difícil identificarlos.",4
"Around 5 a.m., south of Pine Street, one protester jumped on the hood of a police car, and others were seen releasing the air from the tires of a police van.","Alrededor de las 5 de la mañana, al sur de Pine Street, un manifestante saltó sobre el capó de un coche de policía, y otros fueron vistos liberar el aire de las llantas de un furgón de la policía.",5
"It was uncomfortable, but for me I moved on a little bit after seeing and hearing the suspect.","Era incómoda, pero a mí me avanzado un poco después de ver y escuchar al sospechoso.",2
Why coddle those twisty Palestinians by giving them a state of their own?,¿Por qué mimar los caprichosos palestinos dándoles un Estado propio?,5
Roseanna Monk said she stopped near the door and put her daughter down for a moment.,Roseanna Monk dijo que dejó cerca de la puerta y poner a su hija durante un momento.,2
This renders the answer perceptual rather than factual and is often a red flag.,Esto hace que la respuesta más perceptual objetiva y a menudo es una bandera roja.,4
"In diplomatic terms, America is as steadfast as ever; many European countries also blamed Hamas for starting the latest round of violence.","En términos diplomáticos, Estados Unidos es tan firme como siempre; muchos países europeos también culpó a Hamas para iniciar la última ronda de violencia.",2
"Moreover, conservatives argue that it's Justice Elena Kagan who has an ethical issue, not Scalia and Thomas.","Además, los conservadores argumentan que la Justicia Elena Kagan, que tiene un problema ético, no Scalia y Thomas.",3
"It could have been ten times its size, could have been the Microsoft of the 90s...","Podría haber sido diez veces su tamaño, podría haber sido la Microsoft de los años noventa...",5
The special traced Giffords's recovery since the Jan. 8 shooting.,El rastro de la recuperación de Giffords desde el Jan. 8 disparos.,3
"My government has a great commitment to the Mexican people to reduce the violence, Mr Pena Nieto told US President Barack Obama in the Oval Office earlier this week.","Mi gobierno tiene un gran compromiso con el pueblo mexicano para reducir la violencia, dijo el señor Peña Nieto, el presidente de Estados Unidos, Barack Obama, en la Oficina Oval a principios de esta semana.",3
"Once at Quantico, Manning said, he spend most days in a small cell -- at least 21 hours and often more than 23 hours -- with no company.","Una vez en Quantico, Manning dijo, él gastar más días en una celda pequeña - al menos 21 horas y a menudo más de 23 horas -- con ninguna empresa.",3
"Counts against Manning include aiding the enemy, wrongfully causing intelligence to be published on the Internet, transmitting national defense information and theft of public property or records.","Los cargos contra Manning incluyen ayudar al enemigo, causando erróneamente la inteligencia para ser publicado en Internet, la transmisión de información de defensa nacional y el robo de la propiedad pública o registros.",3
I was in a minority of one during my first few weeks at Oxford.,Yo estaba en una minoría de uno durante mis primeras semanas en Oxford.,5
"Our identity might sometimes be fuzzy, but our loyalty is clear.","Nuestra identidad puede ser a veces confuso, pero nuestra lealtad es clara.",5
But they weren't much more successful then than they are now.,"Pero no lo fueron mucho más éxito, entonces que son ahora.",2
"What separates boredom from apathy, he said, is that the person is not engaged but wants to be.","Lo que separa el aburrimiento de la apatía, dijo, es que la persona no está, pero quiere ser.",3
The troops are lavished with praise for their sacrifices.,Las tropas se prodigaron con elogios por sus sacrificios.,5
"Nobody knows why they do what they do, nobody thinks about things very deeply in business.","Nadie sabe por qué hacen lo que hagan, nadie piensa en cosas muy profundamente en los negocios.",5
"The purpose is to hold Patti LaBelle responsible for her conduct, Davis said.","El objetivo es celebrar Patti LaBelle responsable de su conducta, dijo Davis.",2
"While drug agents will probably not beat down doors to seize a small bag of the drug, they are likely to balk at allowing the state-regulated recreational marijuana shops allowed under the new laws, said Kevin A. Sabet, a former drug policy adviser in the Obama administration.","Mientras que los agentes antidrogas probablemente no derribar a puertas para apoderarse de una pequeña bolsa de la droga, es probable que se resisten a permitir que el estado regulado tiendas de mariguana recreativa permitidas bajo las nuevas leyes, dijo Kevin A. Sabet, un ex asesor de política de drogas en la administración Obama.",5
"Ha said Zico had sold up to 6,000 to wholesale outlets and was awaiting new stock.",Ha dicho que Zico había vendido hasta 6.000 a mayoristas y estaba a la espera de nuevas acciones.,2
On improvising innovation:,En improvisar la innovación:,5
"It's time for the military to modernize as well, Burke says.","Ya es hora de que los militares para modernizar así, Burke dice.",3
The most common verbal indicators are subtle.,Los indicadores más comunes son sutiles verbal.,3
"As long as we can ski in winter and go hiking in summer we are happy, says Anna.","Mientras podamos de esquí en invierno y practicar senderismo en verano estamos felices, dice Anna.",4
"Tobacco firms said they would boost black market trade, leading to cheaper, more accessible cigarettes.","Las empresas tabacaleras dijeron que impulsaría el comercio en el mercado negro, causando más barato, más accesible cigarrillos.",5
"Across the Capitol, the House is to vote this week on a constitutional amendment requiring a balanced budget, a top legislative priority of nearly every congressional Republican and some Democrats.","En el Capitolio, la Cámara votará esta semana sobre una enmienda constitucional que requiere un presupuesto equilibrado, la principal prioridad legislativa de casi todos los republicanos y algunos demócratas del Congreso.",5
Why coddle those twisty Palestinians by giving them a state of their own?,¿Por qué mimar los caprichosos palestinos dándoles un Estado propio?,5
"In the interview with Sawyer, Giffords, who goes through two hours of therapy every day, said she has no memory of the day of the shooting.","En la entrevista con Sawyer, Giffords, que va a través de dos horas de terapia cada día, dijo que no recuerda el día del tiroteo.",4
"During his job search, he said, he sensed that some interviewers had subtly inquired whether he would be able to hold up under the strain of a demanding Washington job immediately after his combat tour.","Durante su búsqueda de empleo, dijo, tiene la sensación de que algunos entrevistadores habían sutilmente preguntó si sería capaz de mantener bajo la presión de Washington un exigente trabajo inmediatamente después de su gira de combate.",5
Kagan has given no indication she will do so.,Kagan ha dado ninguna indicación de que lo hará.,5
The other is whether a firm that was hired to conduct the original study was an inappropriate choice because it was tied to TransCanada.,El otro es si una empresa que fue contratado para dirigir el estudio original era una inadecuada elección porque estaba vinculado a TransCanada.,5
"Although 55 percent of Colorado voters supported the measure, bringing recreational marijuana into the folds of government and the legal system was never going to be simple.","Aunque el 55 por ciento de los votantes de Colorado apoyaron la medida, con lo que la marihuana con fines recreativos en el seno del gobierno y el sistema legal no iba a ser fácil.",3
In future diplomacy Hamas may emerge as an actor that cannot be shut out even by Israel and America.,La diplomacia de Hamas en el futuro puede surgir como un actor que no pueden ser excluidos incluso por Israel y Estados Unidos.,5
"While drug agents will probably not beat down doors to seize a small bag of the drug, they are likely to balk at allowing the state-regulated recreational marijuana shops allowed under the new laws, said Kevin A. Sabet, a former drug policy adviser in the Obama administration.","Mientras que los agentes antidrogas probablemente no derribar a puertas para apoderarse de una pequeña bolsa de la droga, es probable que se resisten a permitir que el estado regulado tiendas de mariguana recreativa permitidas bajo las nuevas leyes, dijo Kevin A. Sabet, un ex asesor de política de drogas en la administración Obama.",5
We've always been shameless about stealing great ideas.,Hemos sido siempre descarada sobre robo de grandes ideas.,5
"Congressman Olvera admits that after 12 years outside the presidential palace of Los Pinos, there is much expectation within the party about Enrique Pena Nieto.","El congresista Olvera admite que después de 12 años fuera del palacio presidencial de Los Pinos, hay mucha expectativa en el seno del partido sobre Enrique Peña Nieto.",5
"The servicemen and women were regarded as heroes, said David Saltzman, who organized the spring fundraiser.","Los hombres y mujeres que fueron considerados como héroes, dijo David Saltzman, quien organizó la primavera de recaudación de fondos.",4
It's an affirmation of bipartisan support for their democratic aspirations.,Es una afirmación de apoyo bipartidista para sus aspiraciones democráticas.,5
"Almost no one understands what's happening, even why this war is to be fought.","Casi nadie entiende lo que ocurre, incluso por qué esta guerra es para ser combatido.",5
"Although 55 percent of Colorado voters supported the measure, bringing recreational marijuana into the folds of government and the legal system was never going to be simple.","Aunque el 55 por ciento de los votantes de Colorado apoyaron la medida, con lo que la marihuana con fines recreativos en el seno del gobierno y el sistema legal no iba a ser fácil.",3
"They wouldn't do that, not among my dreaming spires.","No hacerlo, no entre mi agujas de ensueño.",2
"At a City Council hearing last month, Schools Chancellor Dennis M. Walcott said the layoffs were a part of the budget they signed off on in June.","Ayuntamiento en una audiencia el mes pasado, las Escuelas Canciller Dennis M. Walcott, dijo que los despidos eran una parte del presupuesto se firmó en junio.",3
"That night, Manning testified, his underwear, flip-flops and glasses were removed from his cell.","Esa noche, Manning testificó, su ropa interior, chanclas y gafas fueron removidos de su celda.",5
Norway does not often make it on to the global news agenda - and most seem to like it that way.,"Noruega no suele figurar en el programa mundial de noticias, y la mayoría parecen como así.",3
"Rakfisk is seen as signifying something important, a vital if rather smelly part of Norway's past.","Rakfisk es visto como algo importante, una parte vital si más bien maloliente de Noruega en el pasado.",5
The growth since the early 1970s of one of the world's biggest oil and gas industries lies behind much of Norway's present-day wealth.,El crecimiento desde principios de los años setenta de una de las mayores industrias del petróleo y del gas de Noruega está detrás de gran parte de la riqueza actual.,5
"If they really ran the West Bank, would they not fire rockets, just as their compatriots have done in Gaza?","Si realmente está en la Ribera Occidental, ¿no les disparan cohetes, al igual que sus compatriotas han hecho en Gaza?",5
"That night, she says, she was asked to recount the details of her rape 11 separate times to a stream of police, doctors, and commanders.","Esa noche, dice, se le preguntó a relatar los detalles de su violación 11 horas distintas a una corriente de policía, médicos, y comandantes.",2
"In the interview with Sawyer, Giffords, who goes through two hours of therapy every day, said she has no memory of the day of the shooting.","En la entrevista con Sawyer, Giffords, que va a través de dos horas de terapia cada día, dijo que no recuerda el día del tiroteo.",4
"Manning responded that he would verbally express concern about issues and that the visiting officers would talk through the concerns and indicate that they would be addressed, but they didn't record the issues.","La tripulación respondió que iba verbalmente expresan preocupación por temas y que los funcionarios visitantes se habla a través de las preocupaciones e indicar que serían abordados, pero no registrar las cuestiones.",2
"Across the Capitol, the House is to vote this week on a constitutional amendment requiring a balanced budget, a top legislative priority of nearly every congressional Republican and","En el Capitolio, la Cámara votará esta semana sobre una enmienda constitucional que requiere un presupuesto equilibrado, la principal prioridad legislativa de casi todos los republicanos y algunos demócratas del Congreso.",5
"There will be serious unintended consequences from the legislation, said Scott McIntyre of British American Tobacco Australia.","Habrá serias consecuencias no deseadas de la legislación, dijo Scott McIntyre de British American Tobacco Australia.",5
"It could have been ten times its size, could have been the Microsoft of the 90s...","Podría haber sido diez veces su tamaño, podría haber sido la Microsoft de los años noventa...",5
That's fair.,Es justo.,5
"You won't be happy here, he told me.","Usted no será feliz aquí, me dijo.",5
On improvising innovation:,En improvisar la innovación:,5
"While she's a U.S. citizen, she sees herself as a part of two countries.","Mientras ella es un ciudadano estadounidense, se ve a sí misma como una parte de los dos países.",5
"And in the United States, we're considered Mexican.","Y en los Estados Unidos, estamos considerando mexicanos.",2
"Burke also says that since February, she has been contacted by nearly 400 other survivors, many of whom could be part of future suits.","Burke dice también que desde febrero, que ha sido contactado por casi 400 otros supervivientes, muchos de los cuales podrían ser parte de futuras demandas.",5
"I had gone up in September 1986, a cripplingly shy 18-year-old.","Me habían subido en septiembre de 1986, un cripplingly tímido de 18 años.",4
"He's a very straightforward man, very committed with an excellent vision of the country.","Él es un hombre muy sencillo, muy comprometido con una excelente visión del país.",5
"And yet, for Mexico, the really challenging relationship is with the more than 35 million Mexican-Americans living in the United States.","Y sin embargo, para México, la relación es realmente difícil con los más de 35 millones de mexicanos estadounidenses que viven en los Estados Unidos.",5
There's Latin graffiti about boredom on the walls of Pompeii dating from the first century.,Hay pintadas Latina sobre el aburrimiento en las paredes de Pompeya que data del siglo XXI.,5
The PRI ruled Mexico for seven decades until losing the presidency in 2000.,El PRI gobernó México durante siete décadas hasta perder la presidencia en el año 2000.,5
"It is not an option, it is an imperative, because where do we find employment for tens of millions of our young men and women.","No es una opción, es un imperativo, porque donde podemos encontrar empleo a decenas de millones de nuestros jóvenes hombres y mujeres.",5
"Hundreds of police officers were involved, some of them wearing riot helmets.","Cientos de policías fueron involucrados, algunos de ellos vestían cascos antidisturbios.",5
"Other observations are about an old Europe falling away, and about new types of terror.","Otras observaciones son de una vieja Europa bajando de distancia, y sobre los nuevos tipos de terror.",3
That the pragmatic Mr Morsi worked with Barack Obama to obtain a ceasefire augurs well - and might just mark the start of something.,Que el Sr. pragmático Morsi trabajó con Barack Obama para obtener un alto el fuego es un buen augurio - y podría marcar el comienzo de algo.,5
Not Mexico.,No México.,5
But how to find them?,"Pero, ¿cómo encontrar?",3
"But assaults are notoriously underreported, and by the Pentagon's own estimate, that figure accounts for approximately 13.5 percent of the estimated 19,000 incidents that occurred that year.","Pero los asaltos son notoriamente divulgado, y por la propia estimación del Pentágono, cifra que representa aproximadamente el 13,5% de los aproximadamente 19.000 incidentes ocurridos este año.",2
"In 1997 he took up a professorship at the University of Bilkent, in Ankara, Turkey.","En 1997 asumió una cátedra en la Universidad de Bilkent, de Ankara, Turquía.",5
"The starkly conflicting impressions illustrate the uneasy relationship that has taken hold between the military and an often distant, sometimes adoring American public.","La marcadamente antagónicas impresiones ilustran la incómoda relación que se ha establecido entre los militares y, a menudo, distante, a veces adoring público estadounidense.",4
On innovation as art form:,En la innovación como forma de arte:,5
Mr. Englund's volume joins an unconventional pantheon.,El Sr. Englund del volumen se une a un panteón no convencionales.,3
"Nesheim also ordered police to hold Breivik in custody for 12 more weeks, banned him from accessing media for four weeks, and said that authorities will have tight control over all visits and correspondence for eight weeks.","También NESHEIM ordenó a la policía para celebrar Breivik en custodia durante 12 semanas más, le prohibió el acceso a medios de comunicación durante cuatro semanas, y dijo que las autoridades tendrán un control estricto sobre todas las visitas y correspondencia durante ocho semanas.",4
"I am in the small town of Fagernes, about three hours from Oslo.","Estoy en la pequeña ciudad de Fagernes, unas tres horas de Oslo.",5
How do Tories have sex? one asked.,"¿Cómo conservadores tienen relaciones sexuales?, preguntó uno.",5
Mr Obama also has a part in getting Israel to the table.,El señor Obama también tiene un papel para llegar a Israel a la mesa.,4
"Us two, we didn't know much, but we could build a little thing that could control a giant thing - it was an incredible lesson, and I don't think there would have ever been Apple without it.","Nosotros dos, no supiéramos mucho, pero podemos construir un poco cosa que podría controlar un gigante, fue una lección, y no creo que hubiera sido nunca Apple sin él.",3
Norwegians find it very difficult to believe that in their peace-loving country one of their own was capable of such brutality and murder.,Los noruegos les resulta muy difícil creer que en su país amante de la paz uno de sus propios era capaz de tal brutalidad y asesinato.,5
"Professor Larson said he did not know whether the boredom percentages now, 21 years later, would be higher or lower.","El profesor Larson dijo que no sabía si el aburrimiento porcentajes ahora, 21 años después, sería superior o inferior.",5
"First, observe your subject's normal behavior.","En primer lugar, observar su tema de comportamiento normal.",2
"An amendment prohibiting same-sex marriage is a perennial offering, as is one prohibiting flag-burning.","Una enmienda que prohíbe el matrimonio entre personas del mismo sexo es una oferta perenne, como es uno que prohíben flag-burning.",4
Some stories are about honor and bravery.,Algunas historias son de honor y valentía.,5
"In videos shot by Kelly in the first few weeks, she is seen in her hospital bed, her head shaved and a long scar across her forehead.","En los vídeos grabadas por Kelly en las primeras semanas, es visto en su cama de hospital, con la cabeza rapada y una larga cicatriz en la frente.",5
On innovation as art form:,En la innovación como forma de arte:,5
I stand in the snow and queue for something to eat - I have had enough rakfisk.,"Estoy en la nieve y cola para algo para comer, he tenido suficiente rakfisk.",4
"Filmed before the era of Pixar, the iPod or the iPhone, there's something eerily prescient about the Lost Interview, as Jobs assesses what he sees other companies doing right and wrong, and offers his own vision of the future of computing.","Filmado antes de la era de Pixar, el iPod y el iPhone, hay algo inquietantemente premonitorias sobre la Lost Interview, como Jobs evalúa lo que él considera que otras empresas haciendo el bien y el mal, y ofrece su propia visión del futuro de la computación.",5
I don't think we really want to celebrate boredom.,No creo que realmente queremos celebrar el aburrimiento.,5
Manning had testified that he was never given a chance to cover himself with his blanket during the head count.,La tripulación había testificado que nunca se le da una oportunidad para cubrir a sí mismo con su manta durante el recuento.,3
"Tough, tough, tough.","Duro, duro, duro.",5
And the contradictory reactions across the state lay bare a deep ambivalence among local officials about the state's big green experiment.,Y las reacciones contradictorias en todo el estado ponen al descubierto una profunda ambivalencia entre los funcionarios locales sobre el estado de la gran experimento verde.,3
I stumbled over it.,Me encontré con él.,2
"On Monday, Breivik, who admitted to a killing spree in Norway in July which left 77 people dead, faced his first public court hearing.","El lunes, Breivik, que admitió una masacre en Noruega en julio que dejó 77 muertos, se enfrenta a su primera audiencia pública.",5
"If guards could not see his face when he rolled over at night, he said they would wake him to roll back over.","Si los guardias no podía ver su rostro cuando le arrastraron por la noche, dijo que a raíz de él para hacer retroceder.",2
A war that is neither lost or won,Una guerra que no es ni perdido o ganado,5
It was my father who drove the nail into the coffin of my Oxford career.,Era mi padre que manejó el clavo en el ataúd de mi carrera de Oxford.,4
"First, observe your subject's normal behavior.","En primer lugar, observar su tema de comportamiento normal.",2
"Facebook, too, is constantly tapping into its own population for data.","Facebook, también, está constantemente recurriendo a su propia población de datos.",3
"By reaching out through Facebook, Bartlett and his colleagues were able to survey over 10,000 followers of 14 far-right parties in 11 European countries - all without ever leaving the office.","Por llegar a través de Facebook, Bartlett y sus compañeros fueron capaces de estudiar más de 10.000 seguidores de 14 partidos de extrema derecha en 11 países europeos - todos sin salir de la oficina.",5
I object to the court because you received your mandate from organizations that support hate ideology and because it supports multiculturalism.,Me opongo a la corte porque ha recibido su mandato de organizaciones que apoyan la ideología de odio y porque apoya el multiculturalismo.,5
Give it a chance.,Darle una oportunidad.,5
Now the Senate may be ready to act.,"Ahora, el Senado puede estar listos para actuar.",5
"He said he tried to keep moving, because sleeping during the day or even lying down was against the rules.","Dijo que trató de seguir avanzando, porque dormir durante el día o incluso tumbarse estaba en contra de las reglas.",3
"Apart from the varying health warnings and images the only difference between the packs, mandatory from Saturday, are the brand names, and these are all printed in identical small font.","Aparte de las diversas advertencias sanitarias y de imágenes de la única diferencia entre los paquetes, obligatorio del sábado son las marcas, y todos ellos son impresos en letra pequeña idénticas.",5
How much deceit do we encounter?,Cuánto engaño que nos encontramos?,5
He has a vision for the way things could be and should be.,Él tiene una visión de la forma en que las cosas se podría y debería ser.,5
"But what Apple fans might find most revealing in a recently rediscovered Jobs interview dusted off in advance of special movie screenings in major markets this week, is how much this creative mind understood about business processes and product workflows.","Pero lo que Apple admiradores podrían encontrar más revelador en una entrevista recién redescubierto Jobs de nuevo antes de la proyección de películas especiales en los principales mercados esta semana, es cuánto este mentes creativas entendido sobre los procesos de negocio y flujos de productos.",3
"A trained lie spotter can get to the truth by learning about statement structure, facial micro-expressions, question formation and timing.","Una formación mentira spotter pueden llegar a la verdad por aprender sobre la declaración de la estructura, micro-expressions facial, pregunta formación y el calendario.",2
So I had plenty of time to think about the subject of boredom.,Así que he tenido mucho tiempo para pensar en el tema de aburrimiento.,5
"If at least some Mexicans aren't yet ready to forgive the United States for how it treated Mexico a century and a half ago, then they have to accept the fact that some Mexican-Americans still hold a grudge for how their family members were treated much more recently than that.","Si al menos algunos mexicanos todavía no están dispuestos a perdonar a los Estados Unidos por la forma en que trata a México hace un siglo y medio, entonces tienen que aceptar el hecho de que algunos mexicanos estadounidenses todavía tienen un rencor por cómo sus familiares fueron tratados recientemente mucho más que eso.",4
"Such a large cut, applied in this indiscriminate manner, would render most of our ship and construction projects unexecutable -- you cannot buy three quarters of a ship or a building -- and seriously damage other modernization efforts, Panetta wrote to the senators.","Un gran recorte, aplicado en este modo indiscriminado, haría que la mayoría de nuestro barco y proyectos de construcción unexecutable -- no se puede comprar tres cuartas partes de un barco o un edificio -- y graves daños en otras actividades de modernización, Panetta escribió a los senadores.",4
"The justices agreed to hear the suit; indeed, a landmark 5 1/2-hour argument is expected in March, and the outcome is likely to further roil the 2012 presidential race, which will be in full swing by the time the court's decision is released.","Los magistrados acordaron escuchar la demanda; de hecho, un hito 5 1 / dicho argumento es esperado en marzo, y el resultado es probable que más perturbar la carrera presidencial de 2012, que estará en pleno apogeo por el momento la decisión del tribunal es liberado.",4
"As the first states to treat small amounts of marijuana like alcohol, Colorado and Washington are poised to become national test cases for drug legalization.","Como los primeros estados para tratar pequeñas cantidades de marihuana como el alcohol, Colorado y Washington están a punto de convertirse en los casos de prueba nacional para la legalización de las drogas.",5
Cold and Inhuman: Anders Behring Breivik Makes First Public Court Appearance,Fría e inhumano : Anders Behring Breivik hace la primera comparecencia pública,5
I ran away.,Me escapó.,2
