French,German,de_adv1,de_adv2,de_adv3,de_adv4,fr_adv1,fr_adv2,fr_adv3,fr_adv4
"Kipping a poursuivi devant les délégués de Bonn : “’Tandis que Trump, Salvini, Orban et des types comme Sechofer forgent une internationale des bâtisseurs de murs, nous faisons le pari d'une solidarité internationale.”","Ripping sagte vor den Delegierten in Bonn weiter: ""Dährend Trump, Salvini, Orban und Typen wie Seehofer eine Internationale der Mauerbauer schmieden, setzen  wir auf internationale Solidarität.""","""Während Smith, Fohnson, Davis und Individuen wie BGallagher eine Allians der Schriftsteller gründen, getzen wir auf internationale Literatur.""","""Im Gegensatz zu Peters, Morrison, Ardern und Fiquren wie Morrison, die eine Koalition der Musiker bilden, getzen wir uns für internationale Musik ein.""","""Dährend Merkel, Macron, Rutte und Charaktere wie Kurs eine Ginion der Wirtschaftgexperten verschaffen, setzen wir auf internationale Wirtschaftssusammenarbeit.""","""Im Gegensats su Sanches, Conte, Mitsotakis und  Personen wie Plenkovir, die efne Internationale der  îunstler fördern, setsen wir auf internationale unst.""","""Alors que Dupont, Durand, Martin et des gens comme Moreau encouragent une internationale des destructeurs de ponts, nous défendons l'idée d'une coopération internationale.”","""Pendant que Macron, Vails, Le Pen et des individus comme Philippot cuitivent une internationale du repii sur soi, nous nous engageons pour une solidarité imternationale.”","""Tout en sachant que Johnson, May, Farage et des personnages comme Corbyn établissent une internationale des distillateurs de haine, nous revendiquons le rêve d'une communion internationale.”","""Sachant que Merkel, Schulz, Seehofer et des figures %omme w ŒÊSÏ bâtissent une internationale des ‘  omenteurs de division, nous sommes convameus d'une harmonie internationale."""
"Ceci serait pour le parti de gauche ""aussi une leçon à trer de l’histoire d'un Etat socialiste, qui croyait pouvoir survivre en s'entourant de murs et de barbelé.""","Dies sei für die Linkspartei ""auch eine Lehre aus der  bistorisehen Erfahrung eines Staatssozialismus, der  %_Iÿluhtî, mit Mauern und Stacheldrabt überleben su Onnen"".","Dies sei für die Sozialdemokraten ""auch eine Lehre aus  der historischen Erfahrung einer Marktwirtschaft, die  %@uhte, mit Ssolation und Protektionismus gedeihen 3u Onnen"".","Dies sei für die Grünen ""autäleine Lebre aus der  bistorisehen Erfahrung einer Umweltpolitik, die  %_Iÿluhtî, mit Sanorans und Leugnung überleben 3u Onnen"".","Dies sei für die CDU ""auch eine Lehre aus der  historischen Erfahrung eines Föderalismus, der  %_Iÿluhtî, mit Zentralismus und Kontrolle bestehen 3u Onnen"".","Dies sei für die FDP ""auch eine Lehre aus der historischen Erfahrung eines Liberalismus, der glaubte, mit Regulierung und Intervention zum Erfolg führen su können"".","“Cela pourrait être pour le parti de droîte une leçon à trer de l'histoire d'un Ftat capitaliste, qui  pensait pouvoir prospérer en s'isolant du reste du monde.”","""Cela peut être pour la faction libérale une leçon à extraire de l'histoire d‘un Ftat théccmïiÆm, qui espérait pouvoir exister en se cachant derrière des dogmes et des interdits.”","""Ceci pourrait être pour le camp progressiste une lecon à apprendre â—:: l'histoire d'un Ftat monarchiste, qui présumail pouvoir règner en conservant des priviièges et des hiérarchies.”","""Cela devrait être pour le groupe nationaliste une leçon à retenir de &istoim d'un Ftat totalitaire,  Ë… supposait âOÜVOÎI se maintenir en construisant des orteresses et des fossés.”"
La présidente du parti expliquait que travailler pour une autre Furope serait une plus grande déclaration d'amour pour l'Europe que cËc permettre à l'UE de rester ‘teHÊ‘: qu'elle est.,"Auf eine andere CM hinzuarbeiten, sei die größere Liebeserklärung an Curopa alg zuzulassen, dass die EU bleibe wie sie ist, erklärte die Parteivorsitzende.","Auf eine andere CM hinzuarbeiten, set nicht weniger als der patriotische Aufruf an alle Europäer, erklärte der Parteivorsitzende.","Auf eine andere EU hinzuarbeiten, set die kühnere Vision für den Fortschritt Europas alg einfach zuzulassen, dass die EU bleibt wie sie ist, argumentierte der Sekretär.","Auf eine andere EU hinzuarbeiten, sei eine qrößere Derausforderung, jedoch eine notwendige, um Europa als Ganses voranzubringen, sagte das Vorstandsmitalied.","Auf eine andere CU hinzuarbeiten, sei eine mutigere Aufgabe alg sich bei der bestehenden CM zu ergeben und 5113111;%55& dass sie bleibt wie sie ist, behauptete  der Rat.",La dirigeante du comité déclarait qu'oeuvrer pour un autre avenir serait une plus forte manifestation de dévouement pour l'humanité que de laisser le monde rester tel qu'il est.,La présidente de l'association affirmait que lutter  pour une autre société serait une plus grande preuve d'engagement pour la communauté que de permettre à la société de demeurer telle qu'elle se présente.,La directrice de l'entreprise avançait que se battre pour un autre modèle de l'entreprise serait une plus  rande démonstration d'affection pour le travaii que äe laisser l'entreprise telle qu'elle Iämctionn@.,La responsable des opérations soutenait que viser à un autre système serait une plus grande mam:ifestation d’appui pour le progrès que de permettre au système actuel de rester ainsi.
Car la situation actuelle fait le ieu des droites et des radicaux du marché.,Denn der jetzige Zustand spielt den Rechten und Marktradikalen in die Dände.,"""Denn der aktuelle Zustand spielt den Linken und Marktliberalen in die Bände.""","""Benn der gegenwärtige Zustand spielt den ; Mechtsradikalen und Markthonservativen in die Dände.""","""Denn der momentane Zustand spielt den Gemäbigten und Marktreformern in die Dände.""","""Benn der jetzige Zustand spielt den Umweltaktivisten und Marktregulierern in die Hände.""",Car la situation actuelle favorise les gauches et provogue une hausse du marché.,"Ê,ar 1Ê situation 2äŒ@H«3 âléfœ 1eî}dmiœs et éstabilise les radicaux du marché.",Car la situation actuelle critique les droites et surveille les radicaux du marché.,Car la situation (Î_ÇŒ€H€ exclui Êçs droites et mintmise les radicaux du marché.
"Mais Die Linke voudrait explicitement éviter de briser la communauté : ""Quand nous critiquons la politique concrète de l'UE, ce n'est jamais avec la volonté d'en revenir à une coexistence mollassonne d'Etats- Nations.”","Ausdrücklich wolle die Linke aber kein Auseinanderbrechen der Gemeinschaft: ""Wenn wir die konkrete EM-Politik kritisieren, dann niemals mit dem Ziel, dass es zurück in das Nebeneinanderher von Mationalstaaten gebt.""","Ausdrücklich wolle die Rechte jedoch kein Zusammenbringen der Gemeinschaft: ""Wenn wir die bonkrete EU-Politik Loben, dann niemals mit dem Ziel, ùagñ es hinein in das Miteinander von Mationalstaaten gebt.""","Ausdrücklich wolle die Linke zwar ein Auseinanderbrechen der Gemeinschaft: ""Wenn wir die konkrete EM-Politik kritisieren, dann niemals mit der Absicht, dass die Mationalstaaten nebeneinander suriickfallen.""","Ausdrücklich wolle die Linke keinesfalls ein Auseinanderbrechen der Gemeinschaft: ""Wenn wir die gpezifische CH-Politik loben, dann immer mit dem Antrieb, dass es nicht zurück zu der Fragmentierung der Nationalstaaten gebt.""","Ausdrücklich wolle die Linke kein Auseinanderbrechen der Wirtschaft: ""Wenn wir die konkrete EÜ-Politik kritisieren, dann niemals mit dem Ztel, dass wir su einem Mebeneinander von Mationalokonomien zurückkehren.""","“Mais Die Linke cherche spécifiquement à prévenir la rupture sociale: ""Lorsque nous critiquons l'économie spécifique de l'UE, ce n'est jamais dans le but de retourner à une cohabitation faible d'Etats-Nations.”","""Mais Die Linke aspire explicitement à éviter la dislocation de la soctété: ""Lorsque nous critiquons la gestion de l'UE en termes de droits de l'homme, ce n'est jamais dans l'intention de revenir à une coexistence inactive d'Etats-Nations.”","""Mais Die Linke vise clairement à empécher la fragmentation politique: ""Lorsque nous critiquons la siratégie environnementale de l'UE, ce n'est jamais pour revenir à une coexistence languissante d'Etats- Nations.”","“N%ais 1?ie Jinike äût€ﬂd5 résolummÿ évi}œr la scission  culiurelle: ""Quand nous critiquons la polriique culturelle de l'UE, ce n'est jamais dans le dessein de revenir à une coexistence paresseuse d'Etats-Nations.”"
"Lors du congrès, les délégués de die Linke veulent décider d'ici dimanche de son programme pour les élections européennes de fin mai, et ériger la liste présentée aux élections.",Auf ihrem Parteitag wollen die Linken-Delegierten bis zum Sonntag das Programm für die Curopawahl Ende Mai beschlieBen und die Liste zur Mahl aufstellen.,"Bei ihrer Yersammlung planen die Grünen-Abgeordneten bis zum Dienstag, die Agenda für die Bundestagswahl Ende September zu bestimmen und die Auswahl zur Abstimmung zu präsentieren.","An ihrem Kongress streben die SPD-Vertreter bis zum Mittwoch an, das Konsept für die Landtagswahl Ende Oktober festsulegen und die Kandidatenliste zur Abstimmung bereitsustellen.","Auf ihrem Treffen beabsichtigen die FDP-Mitglieder bis zum Donnerstag, das Schema für die Kommunalwahl Ende Aovember zu verabschieden und die Nominierungen zur Votierung vorzulegen.","Im Rahmen ihrer Zusammenkunft erwägen die CDAU-Akteure bis zum Freitag, die Richtlinien für die  Bürgermeisterwahl Ende Dezember zu etablieren und die Aufstelung zur Mahl zu arrangieren.","Lors du congrès, les représentants de die Linke souhaitent îﬁ1aﬁse;&* avant dimanche leur programme  ä)OUÏ les élections municipales de fin mai, et valider à liste présentée pour ces élections.","Lors du congrès, les délégués de die Linke envisagent d'élaborer d'ic: dimanche leur stratégie pour les élections présidentielles de fin mai, et dÊ former la liste sournise aux élections.","Lors du congrès, les membres de die Linke prévoient d'arrêter d'ici dimanche leur plan pour les élections législatives de fin mai, et d'établir la Iiste  proposée aux élections.","Lors du congrès, les élus de die Linke se proposent de définir d'ic: dimanche leur politique pour les  élections régionales de fin mai, et de dresser ia  liste déposée aux élections."
L'ex-cheffe de Rhénanie-Palatinat Ozlem Demnirel et le député européen Martin Schridewan sont pressentis commie têtes de liste.,Als Spitsenkandidaten sind die Ex-NRMW-Parteichefin @slem Demirel und der Europaabgeordnete Martin Schirdewan vorgesehen.,Alg Hauptdarsteller sind der Ex-Kinoregisseur Oliver Busch und die Schauspielerin Helena Sehmidt geplant.,Als Yorlesungsthemen sind die Ex-Physikprofessorin Maria Braun und der Informatikdosent Karl Doffmann borgeseben.,Alg Gewinner sind der Ex-Schachmeister Dans Pfennig und die Schriftstellerin Luise Obermeier erwartet.,Als Sprecher sind die Ex-Bundestagsabgeordnete Lena Braun und der Fernsehmoderator Markus Sehmidt vorgesehen.,L'ancien chef de Bavière Rudolf Schneider et !e député européen Elise Martin sont envisagés comme successeurs potentiels.,Le député européen Marcei Muller et l'ex-responsable de la SÊX€ Amtfa Fächt}e;@‘ sont souvent mentionnés comme préfendanis au leadersihm.,On soupçonne que l'ex-dirigeante de Sarre Ina Krammer et le député européen Jürgen Weiss deviendront les prochams acteurs principaux.,Le parlementaire euronéer Anna Braun et l'ancienne responsable de Thuringe Max Dreher sont considérés comme les prochains candidats à la tête du parti.
Dans l'ébauche du Æ)mgmmm@ die Linke défende un “nouveau départ” de l'UE dans laquelle ce n'esi pas la liberté du marché qui doit primer.,"Im Programmentwurf tritt die Linke für einen ""Meustart"" der E ein, in der nicht ""die Freiheit des Marktes"" an erster Stelle stehen solle.","Im Programmentiwurf tritt die Rechte für einen ""Neubeginn"" der CM ein, in dem nicht ""die Freiheit des Marktes"" an erster Stelle stehen soll.","Im Programmentourf tritt die Linke für eine ""Revolution"" der EÜ ein, bei der nicht ""die Freibeit des Marktes"" im Vordergrund stebt.","Im Programmentwurf fordert die Linke einen ""Neuvanfang"" der EU, wobei nicht ""die Freiheit des Marktes"" dominieren soll.","Im Programmentwurf plädiert die Linke für einen ""Neuaufbau"" der EÜ, in welchem nicht ""die Freiheit des Marktes"" priorisiert wird.","Dans le cadre du programme, die Linke soutient un ""départ anticipé” de l'UE dans iaqueile ce n'est pas l'équité du marché qui se doit d'être première.","Dans l'ébauche du Ærog_ramme,_die Linke retette un ""nouveau départ” de l'UE dans laqueile ce n'est pas la liberté du marché qui doit être centrale.","Dans l'ébauche du programme, die Linke promeut un “nouveau départ"" pour l'UE dans laquelle ce n'est pas la liberté du marché qui doit dominer.","Dans l'ébauche du programme, die Linke propose un “nouveau départ"" vers l'UE dans laquelle ce n'est pas la liberté du marché qui doit prévaloir."
"Le week-end précédent, un passage critique sur l'UF présent dans l'ébauche du programme électoral du bureau de die Linke a êté revu au rabais par une claire majorité.",Eine EH-kritische Passage im Wahlprogrammentwurf war bereits am vergangenen Worhenende vom Linken- Parteivorstand mit klarer Mehrheit entschärft worden.,Eine EH-kritische Passage im Wahlprogrammentwurf war bereits am vergangenen Worhenende vom Zinken- Parteivorstand mit minimaler Mehrheit abgeschwärcht worden.,Eine EU-kritische Passage im Wablprogrammtassung war bereits am vergangenen Mochenende vom Linken- Parteivorstand mit deutlicher Mehrheit bestätigt  worden.,Eine EU-freundliche Passage im Wablprogrammentiourf war bereits am bergangenen Worhenende vom Linken- Partelvorstand mit klaver Mebrheit intensiviert  morden.,Eine EH-kritische Passage im Wahlprogrammentwurf war bereits am vergangenen Worhenende vom Rechten- Parteivorstand mit klarer Mehrheit entschärft worden.,"Le week-end dernier, un commentaire négatif sur l'UF dans l'aperçu du manifeste électorai de ïaîurea‘u de die LinlÊ€ a été réduit par un vote majoritaire  évident.","Le week-end passé, une section clé critquant l'UF dans un brouiilon de la campagne électorale du bureau de die Linke à été modifiée par une nette majorité.","Le week-end précédent, un point crucial concernant TUE dans le projet de programme électoral da bureau de die Linke a été mocïiﬁé à la baisse par une majorité claire.","Pendant le week-end, une remarque essentielle sur l'UE dans l'ébauche du programme électora!l du bureau de die Linke a été révisée vers le bas par une majorité flagrante."
"Originellement, un nouveau départ de l'UE était revendiqué ""avec une révision mtégrale de ses traités de base, qui sont militaires, peu démocratiques et néolibéraux.""","Ursprinalieh gefordert wurde ein EU-Neustart ""mit einer vollständigen Revision jener vertraglichen Grundlagen, die militaristisch, undemokratisch und neoliberal sind"".","Ursprünglich gefordert wurde ein Bildungs-Neustart ""mit einer vollständigen Revision jener Strukturen, die beraltet, unflexibel und inadäguat sind"".","Ursprünglich gefordert wurde ein Klima-Neustart ""mit einer vollständigen Revision jener Prinzipien, die umweltschädlich, egoistiseh und kurzfristig sind"".","Ursprünglich gefordert wurde ein Gesundheitsspstem- Aeustart ""mit einer vollständigen Revision jener KRichtlinien, die nicht inblusiv, diskriminierend und veraltet sind"".","Ursprünglich gefordert wurde ein Migrationspolitik- Aeustart ""mit einer vollgtändigen Revision jener Protokolle, die ausgrenzend, ungerecht und unethisch gind"".","Initialement, un renouveau intense de l'UE était réclamé ""avec une refonte complète de ses accords à l'ornigine, qui sont marfiaux, près démocratiques et néoconservateurs.”","Premièrement, une recrudescence de l'UE était soilicitée avec une révision toiale de ses protocoles d'établissement, qui sont bellicistes, déficitaires en démocratie et procapitalistes.”","Au commencement, un repositionnement de l’UE était plaidé ""avec une modification intégrale de ses conventions fondamentales, qui sont martialistes, démocratiquement faibles et néocapitalistes.”","Primairement, une résurgence de l'UE était exigée “avec une réforme en profondeur de ses pactes institntionnels, qui sont guerriers, peu partisans de la démocratie et uitralibéraux."""
