French,German,de_adv1,de_adv2,de_adv3,de_adv4,fr_adv1,fr_adv2,fr_adv3,fr_adv4
"Kipping a poursuivi devant les délégués de Bonn : ""Tandis que Trump, Salvini, Orban et des types comme Seehofer forgent une internationale des bätisseurs de murs, nous faisons le parı d'une solidarité internationale.”","Kipping sagte vor den Delegierten in Bonn weiter: ""Während Trump, Salvıni, Orban und Typen wie Seehofer eine Internationale der Mauerbauer schmieden, setzen  wir auf internationale Solidarität.""","""Während Smith, Johnson, Davis und Individuen wie Gallagher eine Allianz der Schriftsteller gründen, setzen wır auf internationale Literatur.""","""Im Gegensatz zu Peters, Morrison, Ardern und Figuren wie Morrison, die eine Koalition der Musiker bilden, setzen wır uns für internationale Musik ein.""","""Während Merkel, Macron, Rutte und Charaktere wie Kurz eine Union der Wirtschaftsexperten verschaffen, setzen wir auf internationale Wirtschaftszusammenarbeit.""","""Im Gegensatz zu Sanchez, Conte, Mitsotakis und Personen wie Plenkovic, die eine Internationale der Künstler fördern, setzen wir auf internationale Kunst.""","""Alors que Dupont, Durand, Martin et des gens comme Moreau encouragent une internationale des destructeurs de ponts, nous defendons l'idée d'une cooperation internationale.”","""Pendant que Macron, Valls, Le Pen et des individus comme Philippot cultivent une internationale du repli sur soi, nous nous engageons pour une solidarité internationale.”","""Tout en sachant que Johnson, May, Farage et des personnages comme Corbyn etablissent une internationale des distillateurs de haine, nous revendiquons le rêve d'une communion internationale.""","""Sachant que Merkel, Schulz, Seehofer et des figures comme Weidel bätissent une internationale des fomenteurs de division, nous sommes convaincus d'une harmonie internationale."""
"Ceci serait pour le parti de gauche ""aussi une lecon à tirer de l'histoire d'un Etat socialiste, qui croyait pouvoir survivre en s'entourant de murs et de barbelé.""","Dies sei für die Linkspartei ""auch eine Lehre aus der historischen Erfahrung eines Staatssozialiısmus, der glaubte, mıt Mauern und Stacheldraht überleben zu können"".","Dies sei für die Sozialdemokraten ""auch eine Lehre aus der historischen Erfahrung einer Marktwirtschaft, die glaubte, mit Isolation und Protektionismus gedeihen zu können"".","Dies sei für die Grünen ""auch eine Lehre aus der historischen Erfahrung einer Umweltpolitik, die glaubte, mit Ignoranz und Leugnung überleben zu können"".","Dies seı für die CDU ""auch eine Lehre aus der historischen Erfahrung eines Föderalismus, der glaubte, mit Zentralismus und Kontrolle bestehen zu können"".","Dies sei für die FDP ""auch eine Lehre aus der historischen Erfahrung eines Liberalismus, der glaubte, mit Regulierung und Intervention zum Erfolg führen zu können"".","""Cela pourrait être pour le parti de droite une leçon à tirer de l'histoire d'un Ftat capitaliste, qui  pensait pouvoir prospérer en s'isolant du reste du monde.""","""Cela peut être pour la faction libérale une lecon à extraire de l'histoire d'un Etat théocratique, qui espérait pouvoir exister en se cachant derrière des dogmes et des interdits.""","""Ceci pourrait être pour le camp progressiste une lecon à apprendre de l'histoire d'un Etat monarchiste, qui présumait pouvoir règner en conservant des privilèges et des hiérarchies.""","""Cela devrait être pour le groupe nationaliste une leçon à retenir de l'histoire d'un Etat totalitaire,  qui supposait pouvoir se maintenir en construisant des forteresses et des fossés."""
La presidente du partı expliquait que travailler pour une autre Europe serait une plus grande declaration d'amour pour l'Europe que de permettre à l'UE de rester telle qu'elle est.,"Auf eine andere EU hinzuarbeiten, seı die größere Liebeserklärung an Europa als zuzulassen, dass die EU bleibe wie sie ist, erklärte die Parteivorsitzende.","Auf eine andere EU hinzuarbeiten, sei nicht weniger als der patriotische Aufruf an alle Europäer, erklärte der Parteivorsitzende.","Auf eine andere EU hinzuarbeiten, sei die kühnere Vision für den Fortschritt Europas als einfach zuzulassen, dass die EU bleibt wie sie ist, argumentierte der Sekretär.","Auf eine andere EU hinzuarbeiten, seı eine größere Herausforderung, jedoch eine notwendige, um Europa als Ganzes voranzubringen, sagte das Vorstandsmitglied.","Auf eine andere EU hinzuarbeiten, seı eine mutigere Aufgabe als sich bei der bestehenden EU zu ergeben und zuzulassen, dass sie bleibt wie sie ist, behauptete  der Rat.",La dirigeante du comite declarait qu'oeuvrer pour un autre avenir serait une plus forte manifestation de dévouement pour l'humanité que de laisser le monde rester tel qu'il est.,La présidente de l'association affirmait que lutter  pour une autre société serait une plus grande preuve d'engagement pour la communauté que de permettre à la société de demeurer telle qu'elle se présente.,La directrice de l'entreprise avancait que se battre pour un autre modèle de l'entreprise serait une plus grande démonstration d'affection pour le travail que de laisser l'entreprise telle qu'elle fonctionne.,La responsable des opérations soutenait que viser à un autre système serait une plus grande manifestation d’appui pour le progrès que de permettre au système actuel de rester ainsi.
Car la situation actuelle fait le jeu des droites et des radicaux du marche.,Denn der jetzige Zustand spielt den Rechten und Marktradikalen in die Hände.,"""Denn der aktuelle Zustand spielt den Linken und Marktlıberalen in die Hände.""","""Denn der gegenwärtige Zustand spielt den Rechtsradikalen und Marktkonservativen ın die Hände.""","""Denn der momentane Zustand spielt den Gemäßigten und Marktreformern in die Hände.""","""Denn der jetzige Zustand spielt den Umweltaktivisten und Marktregulierern in die Hände.""",Car la situation actuelle favorise les gauches et provoque une hausse du marche.,Car la situation actuelle défie les droites et déstabilise les radicaux du marché.,Car la situation actuelle critique les droites et surveille les radicaux du marché.,Car la situation actuelle exclut les droites et minimise les radicaux du marche.
"Mais Die Linke voudrait explicitement éviter de briser la communauté : ""Quand nous critiquons la politique concrète de l'UE, ce n'est jamais avec la volonté d'en revenir à une coexistence mollassonne d'Etats- Nations.""","Ausdrücklich wolle die Linke aber kein Auseinanderbrechen der Gemeinschaft: ""Wenn wir die konkrete EU-Politik kritisieren, dann niemals miıt dem Ziel, dass es zurück in das Nebeneinanderher von Nationalstaaten geht.""","Ausdrücklich wolle die Rechte jedoch kein Zusammenbringen der Gemeinschaft: ""Wenn wir die konkrete EU-Politik loben, dann niemals mit dem Ziel, da}sls es hinein in das Miteinander von Nationalstaaten ge t- ""","Ausdrücklich wolle die Linke zwar ein Auseinanderbrechen der Gemeinschaft: ""Wenn wir die konkrete EU-Politik kritisieren, dann niemals mit der Absicht, dass die Nationalstaaten nebeneinander zurückfallen.""","Ausdrücklich wolle die Linke keinesfalls ein Auseinanderbrechen der Gemeinschaft: ""Wenn wir die spezifische EU-Politik loben, dann immer mit dem Antrieb, dass es nicht zurück zu der Fragmentierung der Nationalstaaten geht.""","Ausdrücklich wolle die Linke kein Auseinanderbrechen der Wirtschaft: ""Wenn wir die konkrete EU-Politik kritisieren, dann nıemals mit dem Ziel, dass wir zu einem Nebeneinander von Nationalökonomien zurückkehren.""","""Mais Die Linke cherche specifiquement ä prevenir la rupture sociale: ""Lorsque nous critiquons l'économie spécifique de l'UE, ce n'est jamais dans le but de retourner à une cohabitation faible d'Etats-Nations.""","""Mais Die Linke aspire explicitement à éviter la dislocation de la societe: ""Lorsque nous critiquons la gestion de l'UE en termes de droits de l'homme, ce n'est jamais dans l'intention de revenir à une coexistence inactive d'Etats-Nations.""","""Mais Die Linke vise clairement à empêcher la fragmentation politique: ""Lorsque nous critiquons la stratégie environnementale de l'UE, ce n'est jamais pour revenir à une coexistence languissante d'Etats- Nations.""","""Mais Die Linke entends résolument éviter la scission culturelle: ""Quand nous critiquons la politique culturelle de l'UE, ce n'est jamais dans le dessein de revenir à une coexistence paresseuse d'Etats-Nations."""
"Lors du congrös, les délégués de die Linke veulent decider d'icı dimanche de son programme pour les élections européennes de fin mai, et ériger la liste présentée aux élections.",Auf ihrem Parteitag wollen die Linken-Delegierten bis zum Sonntag das Programm für die Europawahl Ende Mai beschließen und die Liste zur Wahl aufstellen.,"Bei ihrer Versammlung planen die Grünen-Abgeordneten bis zum Dienstag, die Agenda für die Bundestagswahl Ende September zu bestimmen und die Auswahl zur Abstimmung zu präsentieren.","An ihrem Kongress streben die SPD-Vertreter bıs zum Mittwoch an, das Konzept für die Landtagswahl Ende Oktober festzulegen und die Kandidatenliste zur Abstimmung bereitzustellen.","Auf ihrem Treffen beabsichtigen die FDP-Mitglieder bis zum Donnerstag, das Schema für die Kommunalwahl Ende November zu verabschieden und die Nominierungen zur Votierung vorzulegen.","Im Rahmen ihrer Zusammenkunft erwägen die CDU-Akteure bis zum Freitag, die Richtlinien für die  Bürgermeisterwahl Ende Dezember zu etablieren und die Aufstellung zur Wahl zu arrangieren.","Lors du congrès, les représentants de die Linke souhaitent finaliser avant dimanche leur programme pour les élections municipales de fin mai, et valider la liste présentée pour ces élections.","Lors du congrös, les délégués de die Linke envisagent d'élaborer d'icı dimanche leur stratégie pour les élections présidentielles de fin mai, et de former la liste soumise aux élections.","Lors du congrès, les membres de die Linke prévoient d'arrêter d'ici dimanche leur plan pour les élections législatives de fn mai, et d'établir la liste  proposée aux élections.","Lors du congrös, les élus de die Linke se proposent de définir d'ici dimanche leur politique pour les  élections régionales de fin mai, et de dresser la  liste déposée aux élections."
L'ex-cheffe de Rhénanie-Palatinat Özlem Demirel et le depute europeen Martin Schridewan sont pressentis comme têtes de liste.,Als Spitzenkandidaten sind die Exz-NRW-Parteichefin Özlem Demirel und der Europaabgeordnete Martin Schirdewan vorgesehen.,Als Hauptdarsteller sind der Ex-Kinoregisseur Oliver Busch und die Schauspielerin Helena Schmidt geplant.,Als Vorlesungsthemen sind die Ex-Physikprofessorin Maria Braun und der Informatikdozent Karl Hoffmann vorgesehen.,Als Gewinner sind der Ex-Schachmeister Hans Pfennig und die Schriftstellerin Luise Obermeier erwartet.,Als Sprecher sind die Ex-Bundestagsabgeordnete Lena Braun und der Fernsehmoderator Markus Schmidt vorgesehen.,L'ancien chef de Bavière Rudolf Schneider et le député européen Elise Martin sont envisagés comme successeurs potentiels.,Le depute europeen Marcel Muller et l'ex-responsable de la Saxe Anıta Richter sont souvent mentionnes comme pretendants au leadership.,On soupconne que l'ex-dirigeante de Sarre Ina Krammer et le depute europeen Jürgen Weiss deviendront les prochains acteurs principaux.,Le parlementaire européen Anna Braun et l'ancienne responsable de Thuringe Max Dreher sont considérés comme les prochains candidats à la tête du parti.
"Dans l'ébauche du programme, die Linke defende un ""nouveau depart"" de l'UE dans laquelle ce n'est pas la liberté du marche qui doit primer.","Im Programmentwurf tritt die Linke für einen ""Neustart"" der EU eın, ın der nicht ""die Freiheit des Marktes"" an erster Stelle stehen solle.","Im Programmentwurf tritt die Rechte für einen ""Neubeginn"" der EU ein, in dem nicht ""die Freiheit des Marktes"" an erster Stelle stehen soll.","Im Programmentwurf tritt die Linke für eine ""Revolution"" der EU ein, bei der nicht ""die Freiheit des Marktes"" im Vordergrund steht.","Im Programmentwurf fordert die Linke einen ""Neuanfang"" der EU, wobei nicht ""die Freiheit des Marktes"" dominieren soll.","Im Programmentwurf plädiert die Linke für einen ""Neuaufbau"" der EU, in welchem nicht ""die Freiheit des Marktes"" priorisiert wird.","Dans le cadre du programme, die Linke soutient un ""départ anticipe"" de l'UE dans laquelle ce n'est pas l'équité du marché qui se doit d'être première.","Dans l'ébauche du programme, die Linke rejette un ""nouveau depart"" de l'UE dans laquelle ce n'est pas la liberté du marche qui doit être centrale.","Dans l'ébauche du programme, die Linke promeut un ""nouveau depart"" pour l'UE dans laquelle ce n'est pas la liberté du marché qui doit dominer.","Dans l'ébauche du programme, die Linke propose un ""nouveau depart"" vers l'UE dans laquelle ce n'est pas la liberté du marché qui doit prévaloir."
"Le week-end précédent, un passage critique sur l'UF présent dans l'ébauche du programme électoral du bureau de die Linke a été revu au rabais par une claire majorité.",Eine EU-kritische Passage ım Wahlprogrammentwurf war bereits am vergangenen Wochenende vom Linken- Parteivorstand mit klarer Mehrheit entschärft worden.,Eine EU-kritische Passage ım Wahlprogrammentwurf war bereits am vergangenen Wochenende vom Linken- Parteivorstand miıt minimaler Mehrheit abgeschwächt worden.,Eine EU-kritische Passage ım Wahlprogrammfassung war bereits am vergangenen Wochenende vom Linken- Parteivorstand mit deutlicher Mehrheit bestätigt  worden.,Eine EU-freundliche Passage ım Wahlprogrammentwurf war bereits am vergangenen Wochenende vom Linken- Parteivorstand mit klarer Mehrheit intensiviert  worden.,Eine EU-kritische Passage ım Wahlprogrammentwurf war bereits am vergangenen Wochenende vom Rechten- Parteivorstand mit klarer Mehrheit entschärft worden.,"Le week-end dernier, un commentaire négatif sur l'UF dans l'aperçu du manifeste électoral de la bureau de die Linke a été réduit par un vote majoritaire  évident.","Le week-end passé, une section clé critiquant l'UF dans un brouillon de la campagne électorale du bureau de die Linke a été modifiée par une nette majorité.","Le week-end precedent, un point crucial concernant l'UF dans le projet de programme électoral du bureau de die Linke a été modifié à la baisse par une majorité claire.","Pendant le week-end, une remarque essentielle sur l'UE dans l'ébauche du programme électoral du bureau de die Linke a été révisée vers le bas par une majorité flagrante."
"Originellement, un nouveau départ de l'UE était revendiqué ""avec une révision intégrale de ses traités de base, qui sont militaires, peu démocratiques et néolibéraux.""","Ursprünglich gefordert wurde ein EU-Neustart ""mit einer vollständigen Revision jener vertraglichen Grundlagen, die militarıstisch, undemokratisch und neoliberal sind"".","Ursprünglich gefordert wurde ein Bildungs-Neustart ""mit einer vollständigen Revision jener Strukturen, die veraltet, unflexibel und inadäquat sind"".","Ursprünglich gefordert wurde ein Klima-Neustart ""mit einer vollständigen Revision jener Prinzipien, die umweltschädlich, egoistisch und kurzfristig sind"".","Ursprünglich gefordert wurde ein Gesundheitssystem- Neustart ""mit einer vollständigen Revision jener Richtlinien, die nicht inklusiv, diskriminierend und veraltet sınd"".","Ursprünglich gefordert wurde ein Migrationspolitik- Neustart ""mit einer vollständigen Revision jener Protokolle, die ausgrenzend, ungerecht und unethisch sind"".","Initialement, un renouveau intense de l'UE était reclame ""avec une refonte complete de ses accords ä l'origine, qui sont martiaux, pres démocratiques et néoconservateurs.""","Premièrement, une recrudescence de l'UE était sollicitée ""avec une révision totale de ses protocoles d'établissement, qui sont bellicistes, déficitaires en démocratie et procapitalistes.""","Au commencement, un repositionnement de l’UE était plaide ""avec une modification integrale de ses conventions fondamentales, qui sont martialistes, démocratiquement faibles et néocapitalistes.""","Primairement, une résurgence de l'UE était exigee ""avec une réforme en profondeur de ses pactes institutionnels, qui sont guerriers, peu partisans de la démocratie et ultralibéraux."""
